BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000047,411840005,HADAPSAR,"S. NO 218/MP-2, NEAR NETAJI SUBHASH HALL, VITHAL NAGAR, STAFF QUARTERS, HADAPSAR, PUNE - 411 028",27121154,PUNE,PUNE,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000046,411840004,BHOSARI,"SURVEY NO 202, OPP. GAVHANE PETROL PUMP, SHASTRI CHOWK, ALANDI ROAD, BHOSARI, PUNE 411 039",27121154,PUNE,PUNE,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000045,440840004,BUTIBORI,"PLOT NO 9 SARVE NO 117/2K SANTAJI CO OP SOCIETY JAGAT TOWER NAGPUR VARDHA HIGH WAY ROAD BUTI BORI 441 108",262154,"BUTI BORI NAGPUR",NAGPUR,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000044,444840302,KHAMGAON,"AMBER CHEMBER, NEAR OLD BUS STAND, INFRANT OF POST OFFICE, PETH KHAMGAON, TQ. KHAMGAON, DIST. BULDHANA MAHARASHTRA PIN 444 303",258154,KHAMGAON,BULDHANA,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000043,400840002,KASHIMIRA,"NOOR SHAH COMMERCIAL CENTRE, 1ST FLOOR, CITY SURVEY NO 207/208, OPP. SHALIBHADRA COMPLEX, MIRA BHAYANDAR ROAD, MIRA ROAD (E), KASHIMIRA, MUMBAI-401 104",29452154,KASHIMIRA,THANE,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000042,413840227,UDGIR,"SERVE NO 308 HOUSE NO 3/2/2579 PLOT NO 125 FIRST FLOOR VILASRAO CHOWK OR BIDAR NAKA UDGIR 413 517",255154,UDGIR,LATUR,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000041,431840052,JALNA,"NAVA MONDHA NEAR MAMA CHOWK JALNA TQ DIST JALNA PIN 431203",235154,JALNA,JALNA,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000040,NA,NAVNAGAPUR,"PLOT NO 2 DATTANAGAR NAVNAGAPUR TQ DIST AHMADNAGAR PIN 414111",2428154,NAVNAGAPUR,AHMADNAGAR,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000039,414840504,TISGAON,"NAGAR ROAD TISGAON TQ PATHARDI DIST AHMEDNAGAR PIN 414106",241154,TISGAON,AHMADNAGAR,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000038,444840101,AMRAVATI,"NEAR HOTEL TOURIST RAILWAY STATION CHOWK AMRAVATI TQ DIST AMRAVATI PIN 444601",8275058587,AMRAVATI,AMRAVATI,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000037,431840307,"GRAMSEVAK COLONY BEED","PLOT NO 16 GRAMSEVAK COLONY NAGAR ROAD BEED PIN 431122",9422244331,BEED,BEED,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000036,NA,KARMAD,"AURANGABAD-JALNA ROAD, KARMAD, TQ. DIST. AURANGABAD",9225948724,AURANGABAD,AURANGABAD,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000035,NA,WADWANI,"BEED PARALI ROAD WADWANI TQ WADWANI DIST BEED PIN 431131",7588056481,WADWANI,BEED,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000034,NA,BIDKIN,"PAITHAN-AURANGABAD ROAD, BIDKIN, TQ. PAITHAN, DIST. AURANGABAD PIN 431105",9423691657,AURANGABAD,AURANGABAD,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000033,NA,"DIGDOH NAGPUR","MIDC, HINGNA, WARD NO. 2, PLOT NO. X 4, DIGDOH, TQ. DIST. NAGPUR PIN 440016",7875515555,NAGPUR,NAGPUR,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000032,NA,"MARKET YARD LATUR","BASWESHAR CHOWK, MARKET YARD ROAD, LATUR PIN 413512",9422244875,LATUR,LATUR,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000031,414840502,MUKINDPUR,"AHMEDNAGAR-AURANGABAD HIGHWAY ROAD, MUKINDPUR(NEVASA PHATA), TQ. NEVASA, DIST. AHMEDNAGAR PIN-414 603",244154,"NEVASA PHATA",AHMEDNAGAR,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000030,431840509,DHARUR,"DHARUR-KAIJ ROAD, TQ. DHARUR, DIST. BEED. PIN-431 124",274454,DHARUR,BEED,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000029,431840510,"SINDKHED RAJA","JALNA ROAD, SINDKHED RAJA, TQ. SINDKHED RAJA, DIST. BULDHANA. PIN-443 203",234154,"SINDKHED RAJA",BULDHANA,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000028,431840306,"BARSHI ROAD","BAJIRAO NAGAR, BARSHI ROAD, TQ. DIST. BEED. PIN-431 122",230154,BEED,BEED,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000027,NA,"WADI NAGPUR","DATTA WADI, INFRANT OF ORDINANCE FACTORY, AMRAWATI RAOD, WADI. TQ. DIST. NAGPUR. PIN-440 023",223154,NAGPUR,NAGPUR,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000026,414840503,JAMKHED,"RAUT BUILDING, BEED ROAD, JAMKHED, TQ. JAMKHED, DIST. AHMEDNAGAR. PIN-413 201",222154,JAMKHED,AHMEDNAGAR,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000025,431840507,KALAM,"DHOKI ROAD, KALLAM, DIST. OSMANABAD.",262654,KALAM,OSMANABAD,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000024,431840305,"CANAL ROAD","CANAL ROAD, BEED, DIST. BEED,STATE:MAHARASHTRA - 431122",223154,BEED,BEED,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000023,431840508,AMBAD,"MAHAVEER CHOWK, BEED ROAD, AMBAD, DIST. JALNA",221454,AMBAD,JALANA,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000022,431840004,WALUJ,"PLOT NO.P-142, MIDC WALUJ, DIST. AURANGABAD, STATE: MAHARASHTRA - 431136",2556154,AURANGABAD,AURANGABAD,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000021,411065253,WAGHOLI,"MAULI NIWAS, WAGHOLI, TAHSIL-HAVELI, DIST.PUNE, STATE: MAHARASHTRA -412207",27050054,WAGHOLI,PUNE,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000020,411065254,CHAKAN,"NANEKARWADI, SHIVAJI CHOWK, CHAKAN, DIST. PUNE,STATE: MAHARASHTRA - 410501",249124,CHAKAN,PUNE,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000019,431840505,PATODA,"NAGAR ROAD, PATODA, DIST. BEED,STATE:MAHARASHTRA - 414204",242154,PATODA,BEED,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000018,431840506,SHIRUR,"MAIN ROAD, SHIRUR(KASAR) DIST. BEED, STATE: MAHARASHTRA -413249",259154,SHIRUR,BEED,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000017,414816501,SHEVGAON,"NEVASA ROAD, SHEVGAON, DIST. AHEMADNAGAR,STATE: MAHARASHTRA -414502",221054,SHEVGAON,BEED,MAHARASHTRA
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",CRUB0000016,431840504,ASTI,"MIDC ROAD, ASHTI, DIST.BEED,STATE: MAHARASHTRA -414203",233154,ASTI,BEED,MAHARASHTRA
