BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020011,110756016,"CHANDNI CHOWK","NO.241-242, & 275-276,CHANDNI CHOWK.DELHI 110 006",30898015,"NORTH DELHI","NORTH DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020010,110756017,"PATEL NAGAR","42/9,WEST PATEL NAGAR,DELHI 110008",30898015,"WEST DELHI","WEST DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020009,110756015,"MALVIYA NAGAR","C- 10, Shivalik, Malviya Nagar, New Delhi- 110017",30898015,"SOUTH DELHI","SOUTH DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020007,110756009,KALKAJI,"3 LSC,GF,G1 TO G6,PLOT NO -3,LOCAL SHOPING CENTRE,KALKAJI -NEW DELHI 110019",30898017,"SOUTH EAST DELHI","SOUTH EAST DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020006,110756011,"RAJOURI GARDEN","-3A,RAJOURIGARDEN,NEWDELHI-0027",30898015,"WEST DELHI","WEST DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020005,110756010,"LAJPAT NAGAR","M - 19,LAJPAT NAGAR,PART - 2,NEW DELHI 110024",30898015,"SOUTH DELHI","SOUTH DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020004,110756004,SHAKURPAR,"O A-120,VIKAS MARG,SHAKURPAR DELHI",30898017,"EAST DELHI","EAST DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020003,110756007,"KAROL BAGH , DELHI","NO - 1331,NAIWALAD.B.GUPTA ROAD,KAROL BAGH,NEW DELHI -110005",30898015,"CENTRAL DELHI","CENTRAL DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020002,110756006,"CONNAUGHT PLACE, NEW DELHI","G1& G2,ANSAL BHAWAN 16,KASTURBA GANDHI MARG,OPP.BRITISH COUNCIL,NEW DELHI-110001",30898015,"NEW DELHI","NEW DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0020001,110756002,ROHINI,"O-69/H-19,SEC-7,ROHINI,EWDELHI",30898015,"NORTH WEST DELHI","NORTH WEST DELHI",DELHI
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0017004,221756001,VARANASI,"RUDRA PRESTIGE,C-32/23& C-32/25,GROUND FLOOR,SIGRA,VARANASI 221 010",30898017,VARANASI,VARANASI,"UTTAR PRADESH"
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0017003,110756013,GHAZIABAD,"D-15,RS PLAZA,RDC,RAJ NAGAR,GHAZIABAD.UTTAR PRADESH",30898015,GAZIABAD,GAZIABAD,"UTTAR PRADESH"
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0017002,110756012,"NOIDA SECTOR -","B -11,SECTOR-18,NOIDA,UTTAR PRADESH - 201301",30898017,"GAUTAM BUDDHA NAGAR","GAUTAM BUDDHA NAGAR","UTTAR PRADESH"
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0017001,110756005,"GREATER NOIDA","SHOP NO.6,7,8,9,GROND FLOOR,SUNRISE TOWER,ALPHA COMMERCIAL BELT,ALPHA -I,GAUTAM BUDH NAGAR,GREATER NOIDA,UTTAR PRADESH",30898017,"GAUTAM BUDDHA NAGAR","GAUTAM BUDDHA NAGAR","UTTAR PRADESH"
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016030,305756006,BEAWAR,"OLD MUNICIPAL NO.7/104,NEW NO.12,ROOPBANI CINEMA,STATION ROAD,NATIONAL HIGHWAY NO.08,TEHSIL -BEAWAR,DISTRICT AJMER,RAJASTHAN",30898015,AJMER,AJMER,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016029,313756002,UDAIPUR,"PLOT NO 12 RESIDENCY ROAD OPPOSITE P C JEWELLERS UDAIPUR RAJASTHAN 313001",30898015,UDAIPUR,UDAIPUR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016028,301756002,ALWAR,"PLOT NO.2,KHASRA NO 16 85 AND 1690, ROAD NO.1,NEAR AMBEDKAR CIRCLE,NEAR GURUPRASAD COACHING,ALWAR CITY,ALWAR,RAJASTHAN -301001.",30898017,ALWAR,ALWAR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016027,305756005,KEKRI,"NEAR MEER BAWARI,SHIV CHOWK,HOSPITAL ROAD,KEKRI,TEHSIL -KEKRI,DIST.AJMER,RAJASTHAN 305404",30898017,AJMER,AJMER,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016026,325756002,BARAN,"ARDAND PLAZA,NEAR DEENDAYAL PARK,WARD NO.12,BARAN,RAJASTHAN.325205",30898015,BARAN,BARAN,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016025,323756002,BUNDI,"VINAYAK COMPLEX,NEW DHAN MANDI ROAD,LANKA GATE,BUNDI,RAJASTHAN,",30898017,BUNDI,BUNDI,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016024,332756002,SIKAR,"S.R.V.MALL,WARD NO.16,DEVIPURA ROAD,NEAR CITY DISPENSARY NO.2,SIKAR,RAJASTHAN -332001",30898015,SIKAR,SIKAR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016023,334756002,BIKANER,"SARDUL NAGAR,NEAR RAILWAY CROSSING,HOSPITAL ROAD,BIKANER,DIST.BIKANER,RAJASTHAN -334001",30898015,BIKANER,BIKANER,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016022,341756003,DIDWANA,"SHOP NO.5,6,7 SITUATED KHASRA NO.3004,KUCHAMAN ROAD,DIDWANA,TEHSIL -DIDWANA,DIST.NAGAUR,RAJASTHAN.341303",30898015,NAGAUR,NAGAUR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016021,305756004,LOHAGAL,"PLOT NO.3,KHASRA NO.1459,GL FURNITURE,JANANA HOSPITAL ROAD,GRAM - LOHAGAL,DIST.AJMER,RAJASTHAN 305001",30898015,AJMER,AJMER,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016020,304756003,TONK,"Situated at Old Hatwara, Subash Bazar, Opp. Of Nizam Bidi factory, Near Central Bank of India, Tonk, Tehsil  Tonk, Rajasthan",30898015,TONK,TONK,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016019,306756003,PALI,"Plot No. S- 61, S-62, S-63, S-64 Situated at Kalpvarax Grah Nirman Sahakari Samiti Ltd. Scheme No. 2, Ambedkar Circle, Pali, Rajasthan",30898015,PALI,PALI,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016018,312756003,NIMBAHERA,"Plot no. 17B, Situated at Adarash Colony, Nimbahera, Tehsil - Nimbahera, Dist. Chittorgarh, Rajasthan",30898015,CHITTORGARH,CHITTORGARH,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016017,343756002,JALORE,"PLOT NO.62,SURVEY NO.03339/16,OPPOSITE CENTRAL CO OPERATIVE BANK,MANPURA COLONY,JALORE,DIST.JALORE,RAJASTHAN -343001",30898015,JALOR,JALOR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016016,303756002,KOTUTLI,"Mankash Tower, Khasra No. 1225, Opp. Of Krashi upaj Mandi, Bansur Raod, Kotputli, Tehsil- Kotputli, Dist- Jaipur, Rajasthan - 303108",30898015,JAIPUR,JAIPUR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016015,302756005,JHAI,"KALWAADA ROAD,BEHIND JAGDAMBA MOTORS,VILLAGE JHAI,POST BAMBHORIA,TEHSIL -SANGANER,DISTRICT JAIPUR",30898015,JAIPUR,JAIPUR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016014,342756002,JODHPUR,"Plot No.-87/B/1, Situated at Bombay Motors Circle, Chopasani Road, Jodhpur, Rajasthan",30898015,JODHPUR,JODHPUR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016013,302756004,C-SCHEME,"Shop No. 38, 39 and 40,Laxmi Complex, Khasara No. 381, Gram Hathori, M.I. Road, Jaipur ,Rajasthan - 302001",30898015,JAIPUR,JAIPUR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016012,302756003,SANGANER,"176,SANT KUTTER,NAGAR NIGAM OFFICE,SANGANER BAZAAR,SANGANER,JAIPUR,RAJASTHAN",30898015,JAIPUR,JAIPUR,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016011,304756002,MALPURA,"PLOT NO.28,WARD NO.9,TODA ROAD,MALPURA,DIST -TONK,RAJASTHAN,304504",30898015,TONK,TONK,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016010,305756003,AJMER,"Bansal Building, Opposite Railway Station Malgodown, Station Road, Ajmer, Rajasthan - 305001",30898017,AJMER,AJMER,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016009,305756002,KISHANGARH,"HOTEL CITY HEART,NEAR BUS STAND,MADANGANJ,KISHANGARH,RAJASTHAN -305801",30898017,AJMER,AJMER,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016008,312756002,CHITTORGARH,"PLOT NO.27,RAJEEV COLONY,CHITTORGARH,RAJASTHAN-312001",30898015,CHITTORGARH,CHITTORGARH,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016007,306756002,SUMERPUR,"Hari Plaza, Gandhi Chauraha, Main Bazar, Sumerpur, District - Pali, Rajasthan - 306902",30898015,PALI,PALI,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016006,327756002,BANSWARA,"Plot No. 132, Opp. Shrinath Ashram, Mohan Colony, Banswara, Rajasthan - 327001",30898017,BANSWARA,BANSWARA,RAJASTHAN
"EQUITAS SMALL FINANCE BANK LIMITED",ESFB0016005,324756002,KOTA,"PLOT NO 396,SHOPPING CENTER,AERODROME CIRCLE,KOTA,RAJASTHAN - 324009",30898017,KOTA,KOTA,RAJASTHAN
