BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"BANK OF MAHARASHTRA",MAHB0000001,411014010,"BAJIRAO ROAD","JANMANGAL,  1177, BUDHWAR PETH PUNE 411 002",24473712,PUNE,PUNE,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000002,400014002,"FORT BRANCH┬á, MUMBAI","45/47, 'JANMANGAL', MUMBAI SAMACHAR MARG, FORT, MUMBAI-400023",22663947,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000003,411014014,"DECCAN GYMKHANA, PUNE","1257, DECCAN GYMKHAN, PAWAR BLDG, PUNE 411004",25531955,PUNE,PUNE,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000004,425014001,"JALGAON CITY","SHAH ARCADE, 1ST FLOOR FRONT OF NATWAR TALKIES , NAVI PETH",2236553,JALGAON,JALGAON,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000005,440014002,"SITABULDI, NAGPUR","172, MAHABANK BUILDING, ABHYANKAR RD, SITABULDI NAGPUR 440 012",2545008,NAGPUR,NAGPUR,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000006,400014003,"GIRGAUM, MUMBAI","215 BHATAVADEKAR BLDG RAJARAM MOHAN ROY ROAD GIRGAUM MUMBAI 400004",23867095,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000007,411014024,"KHADKI, PUNE","DEEPASHRI, 157 OLD BAZAR, KHADKI, PUNE 411003",25816049,PUNE,PUNE,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000008,415014007,"RATNAGIRI CITY","SARASWATI GAJANAN SMRUTI , SUBHASH RD, RATNAGIRI 415 612",222315,RATNAGIRI,RATNAGIRI,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000009,423014002,KOPARGAON,"MAHATMA PHULE ROAD",223024,KOPARGAON,AHMADNAGAR,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000010,424014001,"DHULE CITY","RAJWADA BLDG. LANE NO.4, DHULE-424001",232138,DHULE,DHULE,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000011,413014003,"PHALTAN GALLI SOLAPUR","HYDERABADWALE BUILDING,TILAK CHOWK,SOLAPUR",2733873,SOLAPUR,SOLAPUR,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000012,424014202,CHALISGAON,"SETH N B VACHNALAYA BLDG, STATION ROAD, CHALISGAON, DIST JALGAON 424 101",222820,JALGAON,JALGAON,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000013,580014002,"HUBLI MAIN","VICTORIAL BUILDING, KOPPIKAR ROAD, HUBLI - 580020",2365388,HUBLI-DHARWAD,DHARWAD,KARNATAKA
"BANK OF MAHARASHTRA",MAHB0000014,422014007,"NASIK CITY, NASIK","JANMANGAL,  TILAK ROAD, NASIK 422 001",2502951,NASHIK,NASIK,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000015,400014088,"SC KALYAN","GIRIJASHANKAR MKT BLDG,GOSHALA RD,SHIVAJI CHOWK, KALYAN 421304",2213054,KALYAN,THANE,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000016,400014004,"RANADE ROAD, DADAR, MUMBAI","POPATLAL NIWAS, RANADE ROAD, DADAR WEST, MUMBAI 400028",24228443,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000017,413014002,"NAVI PETH SOLAPUR","LALBAHADUR SHASTRI SHOPPING CENTRE, NAVIPETH,MAIN ROAD,SOLAPUR-413001",2733874,SOLAPUR,SOLAPUR,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000018,416014002,"LAXMIPURI, KOLHAPUR","1408-C, KHATIK SAMAJ BLDG. LAXMIPURI KOLHAPUR 416 001",2640549,KOLHAPUR,KOLHAPUR,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000019,500014002,"SULTAN BAZAR, HYDERABAD","4/3-379,447, 1ST FLOOR, BANK STREET SULTAN BAZAR, KOTI HYDERABAD 500 001",24754980,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"BANK OF MAHARASHTRA",MAHB0000020,416014151,SANGLI,"C. S. NO. 1102, PETH BHAG, PATWARDHAN BLDG., SANGLI 416416",2331478,SANGLI-MIRAJ-KUPWAD,SANGLI,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000021,444014021,"MAIN BRANCH - AMRAVATI","MATOSHRI ARCADE, OPP. SAHAKAR BHAVAN,  MORSHI ROAD, AMRAVATI 444601",2673462,AMRAVATI,AMRAVATI,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000022,400014073,"STATION ROAD, THANE","STATION ROAD, THANE",25332071,THANE,THANE,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000023,577014602,HARIHAR,"KIRLOSKAR BUILDING, 494/D-1,POONA-BANGALORE ROAD, HARIHAR - 577601, DAVANGERE DIST, KARNATAKA",242226,HARIHAR,DAVANGERE,KARNATAKA
"BANK OF MAHARASHTRA",MAHB0000024,414014001,"AHMEDNAGAR CITY","BANK ROAD KAPAD BAZAR",2345098,AHMADNAGAR,AHMADNAGAR,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000025,400014113,BHIWANDI,"105, GHANAVATKAR BLDG, NEAR MANDAI, BHIWANDI, PRABHU ALI 421302",251403,BHIWANDI,THANE,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000026,400014005,"ZAVERI BAZAR, MUMBAI","1ST FLOOR GURU ASHISH GANESHVADI CORNER ZAVERI BAZAR MUMBAI 400002",23429211,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000027,400014117,PANVEL,"BALAJI BHAVAN, NEAR BHAJI MARKET, PANVEL 410 206",27452306,PANVEL,RAIGAD,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000028,411014002,"BHAVANI PETH, PUNE","SAIKRIPA 122 GUL ALI SANAS BUILDING BHAWANI PETH PUNE 411042",26385850,PUNE,PUNE,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000029,413014015,SHRIRAMPUR,"SHIVAJI CHOWK  SHRIRAMPUR",222225,SHRIRAMPUR,AHMADNAGAR,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000030,416014402,KIRLOSKARWADI,"KIRLOSKAR BROTHERS LTD, KIRLOSKARWADI, TAL.: TASGAON DIST: SANGLI 416308",222029,"KIRLOSKAR WADI",SANGLI,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000031,590014002,"BELGAUM CITY","BELGAUM CITY BRANCH, KIRLOSKAR ROAD, BELGAUM - 590002",2420340,BELGAUM,BELGAUM,KARNATAKA
"BANK OF MAHARASHTRA",MAHB0000032,431014011,"AURANGABAD CITY","SURESH BHAVAN CHAURAHA ROAD SHAHGANJ AURANGABAD 431001",2334893,AURANGABAD,AURANGABAD,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000033,431014516,"JALNA MAIN","BARWALE BUILDING POST BOX NUMBER 5 SADAR BAZAR DIST JALNA-431203",233324,JALNA,JALNA,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000034,444014003,"M G RD, AKOLA","OPP BUS STAND M G ROAD AKOLA",2435513,AKOLA,AKOLA,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000035,901014101,"NANDED MAIN","TARASINGH MARKET, NANDED ,431601",237710,NANDED,NANDED,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000036,431014078,HINGOLI,"KABRA NAGAR, HINGOLI 431513",22170,HINGOLI,HINGOLI,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000037,431014001,AMBEJOGAI,"8-288/1,JANMANGAL,MONDHA,AMBEJOAGI.431517",247022,AMBAJOGAI,BID,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000038,413014501,"LATUR MAIN","KAMDAR ROAD,HANUMAN CHOWK, LATUR 413512 M.S",82245706,LATUR,LATUR,MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000039,400014033,"SION BRANCH,MUMBAI","153,SUNRAYS BUILDING,DR. AMBEDKAR ROAD, NEAR SION CIRCLE,SION (WEST),MUMBAI- 400022.",24077951,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"BANK OF MAHARASHTRA",MAHB0000040,411014051,"SOMWAR PETH, PUNE","444, SOMWAR PETH, AGARKAR HIGHSCHOOL PREMISES.",26121558,PUNE,PUNE,MAHARASHTRA
