BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"KALYAN JANATA SAHAKARI BANK",KJSB0KUB254,400367254,"THE KONARK URBAN CO-OP BANK LTD - SIRU CHOWK BR","SHOP NO 563,MOHAN EMPIRE,ULHASNAGAR 421002",2711106,ULHASNAGAR,THANE,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0KUB253,400367253,"THE KONARK URBAN CO-OP BANK LTD - ULHASNAR BR","SECTION 39,NEAR SAI BABA MANDIR,ULHASNAGAR 421005",2534536,ULHASNAGAR,THANE,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0KUB252,400367252,"THE KONARK URBAN CO-OP BANK LTD - MAIN BRANCH","14,HARDWAR APARTMENTS,NEW LINK ROAD,ULHASNAGAR 421002",2710275,ULHASNAGAR,THANE,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0000502,400367502,KONGAON,"SHOP NO.1 TO 3,SEETA GANPAT APRTMENT,SURVEY NO 267,HISSA NO 11,KALYAN BHIWANDI ROAD,KONGAON,TAL KALYAN,DIST THANE.421 311",2219009,KALYAN,THANE,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0000501,400367501,"Malang Road Pisavali","C-268 AND 269 SWAMINARAYAN NAGAR , NEAR RELIANCE DIGITAL OPP MARUTI COMPLEX NIZAMPURA MAIN ROAD NIZAMPURA , VADODARA",2358960,KALYAN,THANE,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0000218,422367003,"AMBAD ROAD NASHIK","SAITIRTH,PLOT NO 3,SURVEY NO 15/A,RAMESHWAR NAGAR,KAMTHWADE SHIWAR,AMBAD ROAD,NASHIK",2370366,NASHIK,NASHIK,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0000217,411367009,WAGHOLI,"GROUND FLOOR,HOUSE NO.2688,GAT NO.609,PROPERTY C.NO.22,PUNE NAGAR ROAD,WAGHOLI, TAL. HAVELI. DIST PUNE 412207",412207,PUNE,PUNE,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0000216,411367008,"APPA BALWANT CHOWK","SHOP NO 1,2,3 GROUNF FLOOR,MANDKE HEIGHTS,SURVEY NO. 652653,NARAYAN PETH,APPA BALWANT CHOWK.PUNE 411030",24440063,PUNE,PUNE,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0000215,411367007,BIBVEWADI,"SHOWROOM NO.1,GROUND FLOOR,PUSHPA HIGHTS,SURVEY NO 692/3A,692A/3B,692B/3C/2/1,PLOT NO 1,CTS NO 2073 & 2074,BIBVEWADI,PUNE SATARA ROAD, PUNE 411037",24213121,PUNE,PUNE,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0000214,411367006,WARJE,"SHIVAJI SHOP NO.1,2,3,4,GROUND FLOOR,CHINTAMANI SOCIETY,SURVE NO 25/4,KARVE NAGAR,WARJE,PUNE 411052",25479695,PUNE,PUNE,MAHARASHTRA
"KALYAN JANATA SAHAKARI BANK",KJSB0000213,411367005,TALEGAON,"JAYAWANTRAO DABHADE SMRUTI,PLOT NO.3,REVENUE COLONY,TALEGAON CHAKAN ROAD,TALEGAON",2219009,PUNE,PUNE,MAHARASHTRA
