BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010043,WAITING,"KULRI BAZAR","KULRI BAZAR MALL ROAD MUSSOORIE",9456596448,MUSSOORIE,DEHRADUN,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010042,WAITING,"DARSHANI GATE","01 DARSHANI GATE NEAR HANUMAAN CHOWK DEHRADUN",9456596448,DEHRADUN,DEHRADUN,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010041,WAITING,PAURI,"PAURI DHARA ROAD PAURI",9456596448,PAURI,"PAURI GARHWAL",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010040,WAITING,RUDRAPRAYAG,"BADRINATH ROAD MAIN MARKET RUDRAPRAYAG",9456596448,RUDRAPRAYAG,RUDRAPRAYAG,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010039,WAITING,JWALAPUR,"RAILWAY STATION ROAD JWALAPUR",9456596427,HARIDWAR,HARIDWAR,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010038,WAITING,DOIWALA,"H NO 207 DEHRADUN ROAD DOIWALA",9456596448,DEHRADUN,DEHRADUN,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010037,WAITING,NIRANJANPUR,"OPPOSITE SABZI MANDI NIRANJANPUR DEHRADUN",9456596448,DEHRADUN,DEHRADUN,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010036,WAITING,GARUR,"NEAR KUMAUN PHARMACY GARUR BAGESHWAR",9456596404,GARUR,BAGESHWAR,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010035,WAITING,"KMOU BUS STATION","TAKANA ROAD NEAR KMOU BUS STATION PITHORAGARH",9456596422,PITHORAGARH,PITHORAGARH,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010034,WAITING,"RUDRAPUR 2","GURU NANAK BALIKA INTER COLLEGE RUDRAPUR",9456596420,RUDRAPUR,"US NAGAR",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010033,WAITING,"MITRA BHAWAN","MITRA BHAWAN NAINITAL ROAD TIKONIA HALDWANI",9456596411,HALDWANI,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010032,WAITING,UNCHAPUL,"KALADHUNGI ROAD UNCHAPUL HALDWANI",9456596407,HALDWANI,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010031,246846902,SRINAGAR,"BADRINATH ROAD,NEAR UNION BANK",250561,SRINAGAR,"PAURI GARWAL",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010030,247846102,ROORKEE,"OPP PREM MANDIR 6 CIVIL LINES",271745,ROORKEE,HARIDWAR,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010029,263846602,RANIKHET,"MOON HOTEL, GANDHI CHOWK",220400,RANIKHET,ALMORA,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010028,246846802,KOTDWAR,"NAJIBABAD ROAD",229923,KOTDWAR,"PAURI GARWAL",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010027,249846002,HARIDWAR,"STATION ROAD, GURU MANDAL ASHRAM, DEVPURA",223331,HARIDWAR,HARIDWAR,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010026,248846004,"PALTON BAZAR","91/66, FRUIT MARKET, PALTAN BAZAR",2711539,DEHRADUN,DEHRADUN,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010025,248846002,DEHRADUN,"60, ARHAT BAZAR, NEAR SHIVAJI, DHARMSHALA, SAHARANPUR ROAD",2620539,DEHRADUN,DEHRADUN,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010024,248846003,DHARMPUR,"HARIDWAR ROAD, DHARAMPUR",2679961,DHARMPUR,DEHRADUN,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010023,263846305,BHOWALI,"HOTEL TOURIST CAMPUS, MAIN CHAURAHA",220103,BHOWALI,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010022,262846802,PITHORAGARH,"MEHRA MARKET, SILTHAM",224935,PITHORAGARH,PITHORAGARH,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010021,263846502,KICHHA,"PANT MARKET",264296,KICHHA,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010020,263846202,RUDRAPUR,"VIR HAKIKAT RAI MARG",243468,RUDRAPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010019,244846202,KASHIPUR,"MATA MANDIR MARG",279961,KASHIPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010018,244846402,RAMNAGAR,"41, NANDA LINE",251236,RAMNAGAR,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010017,263846004,MANDI,"NAVEEN ADARSH MANDI",246006,HALDWANI,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010016,262846202,BAZPUR,"ADARSH KANYA VIDYALAYA",281865,BAZPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010015,262846502,SITARJANG,"GURUDWARA ROAD",253392,SITARJANG,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010014,262846302,KHATIMA,"SITARGANJ ROAD",250881,KHATIMA,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010013,263846402,GADARPUR,"GULARBHOJ ROAD, MAIN MARKET",271052,GADARPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010012,263846006,"TP NAGAR","MANPUR UTTAR, RAMPUR ROAD, TRANSPORT NAGAR",9456536412,HALDWANI,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010011,263846005,DCC,"DURGA CITY CENTER, NAINITAL ROAD",283389,HALDWANI,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010010,263846303,TALLITAL,"KURMANCHAL BHAWAN, TALLITAL",237440,NAINITAL,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010009,262846351,TANKPUR,"SHARDA BARRAGE ROAD",265474,TANKPUR,CHAMPAWAT,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010008,249846102,RISHIKESH,"1, AVDHOOT ASHRAM ROAD",2439725,RISHIKESH,DEHRADUN,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010007,263846002,MUKHANI,"VERMA COMPLEX, MUKHANI CHAURAHA, KALADUNGI ROAD",264433,HALDWANI,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010006,262846602,CHAMPAWAT,"SAH COMPLEX, BANK ROAD",230430,CHAMPAWAT,CHAMPAWAT,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010005,263846302,MALLITAL,"SHYAMA HOUSE, MALLITAL",235427,NAINITAL,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010004,263846702,BAGESHWAR,"STATION ROAD",220094,BAGESHWAR,BAGESHWAR,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010003,263846102,ALMORA,"HOTEL HIM TOWER CAMPUS, MAIN MARKET",233344,ALMORA,ALMORA,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010002,263846304,BALIKA,"M L SAH BALIKA VIDYA MANDIR ATI ROAD",237413,NAINITAL,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0010001,263846003,HALDWANI,"GOPALJI COMPLEX, SADAR BAZAR",250150,HALDWANI,NAINITAL,UTTARAKHAND
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",KNSB0000001,NA,RTGS-HO,"KURMANCHAL BHAWAN, TALLITAL",231525,NAINITAL,NAINITAL,UTTARAKHAND
