BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"STANDARD CHARTERED BANK",SCBL0036101,243036002,"TEHSIL BAREILLY","GROUND FLOOR, KHASRA NO - 356 & 357, VILLAGE MOHANPURA, PARGANA TEHSIL AND DISTRICT BAREILLY, UTTAR PRADESH",9557935666,BAREILLY,BAREILLY,"UTTAR PRADESH"
"STANDARD CHARTERED BANK",SCBL0036100,282036002,AGRA,"4, KRISHNA ENCLAVE",9760090441,AGRA,AGRA,"UTTAR PRADESH"
"STANDARD CHARTERED BANK",SCBL0036099,695036002,TRIVANDRUM,"STANDARD CHARTERED BANK, GROUND & F",9847025257,TRIVANDRUM,TRIVANDRUM,KERALA
"STANDARD CHARTERED BANK",SCBL0036098,NA,CHHINDWARA,"SHARMA COMPLEX,PLOT NO.491,WARD NO.38,PARASIA ROAD,CHHINDWARA 480001.MADHYA PRADESH",0,CHHINDWARA,CHHINDWARA,"MADHYA PRADESH"
"STANDARD CHARTERED BANK",SCBL0036097,342036002,JODHPUR,"GROUND FLOOR, PLOT NO. 839",2433878,JODHPUR,JODHAPUR,RAJASTHAN
"STANDARD CHARTERED BANK",SCBL0036096,313036002,UDAIPUR,"GROUND FLOOR,APEX SQUARE BANK STRET",9587797777,UDAIPUR,UDAIPUR,RAJASTHAN
"STANDARD CHARTERED BANK",SCBL0036095,247036002,SAHARANPUR,"MUNDARJA,NO. 262, DELHI",2764855,SAHARANPUR,SAHARANPUR,"UTTAR PRADESH"
"STANDARD CHARTERED BANK",SCBL0036094,248036002,DEHRADUN,"KRISHNA TOWERS",3242061,DEHRADUN,DEHRADUN,UTTARAKHAND
"STANDARD CHARTERED BANK",SCBL0036093,516036102,PRODDATUR,"GROUND FLOOR, MEGHANA MANSION,24/25",248841,PRODDATUR,CUDDAPAH,"ANDHRA PRADESH"
"STANDARD CHARTERED BANK",SCBL0036092,281036002,MATHURA,"PACIFIC MALL,PLOT NO. C-1/B",3206014,MATHURA,MATHURA,"UTTAR PRADESH"
"STANDARD CHARTERED BANK",SCBL0036091,411036003,"KALYANI NAGAR","B2 THE CEREBRUM IT PARK",66803800,PUNE,PUNE,MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036090,500036003,"JUBILEE HILLS","#8-2-293/82/A/646/A, GROUND FLOOR,",39404444,HYDERABAD,"HYDERABAD URBAN","ANDHRA PRADESH"
"STANDARD CHARTERED BANK",SCBL0036089,560036004,"PRESTIGE POSEIDON","G2-G3, PRESTIGE POSEIDON",41188952,BANGALORE,"BANGALORE URBAN",KARNATAKA
"STANDARD CHARTERED BANK",SCBL0036088,600036009,"ANNA NAGAR","NEWRY, PLOT NO.106, OLD DOOR NO.11,",66014444,CHENNAI,CHENNAI,"TAMIL NADU"
"STANDARD CHARTERED BANK",SCBL0036087,700036020,"GURUSADAY ROAD","G-08, ATRIA,",22900768,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036086,110036020,"EXPRESS TOWERS","1ST FLOOR, EXPRESS BUILDING",23308094,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036085,400036022,"CRESCENZO BUILDING","CRESCENZO BUILDING",26757033,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036084,400036002,"23-25 M G ROAD","OPP. VSNL",22683301,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036083,600036008,"T NAGAR","SAGAS AMAR COURT",28158707,CHENNAI,CHENNAI,"TAMIL NADU"
"STANDARD CHARTERED BANK",SCBL0036082,682036003,"ERNAKULAM-GK ARCADE","G K ARCADE, GROUND FLOOR,",2550589,ERNAKULAM,ERNAKULAM,KERALA
"STANDARD CHARTERED BANK",SCBL0036081,500036002,SECUNDERABAD,"GROUND FLOOR, UNIT NO.2A&3","6690 7050",SECUNDERABAD,"HYDERABAD URBAN","ANDHRA PRADESH"
"STANDARD CHARTERED BANK",SCBL0036080,600036006,SORRENTO,"NO. 6, LATTICE BRIDGE ROAD",42027272,CHENNAI,CHENNAI,"TAMIL NADU"
"STANDARD CHARTERED BANK",SCBL0036079,600036007,"HADDOWS ROAD","GRINDLAYS GARDEN","282 19666",CHENNAI,CHENNAI,"TAMIL NADU"
"STANDARD CHARTERED BANK",SCBL0036078,600036002,"RAJAJI SALAI","19,RAJAJI SALAI,",25349200,CHENNAI,CHENNAI,"TAMIL NADU"
"STANDARD CHARTERED BANK",SCBL0036077,641036002,COIMBATORE,"509, D.B.ROAD",2550589,COIMBATORE,COIMBOTORE,"TAMIL NADU"
"STANDARD CHARTERED BANK",SCBL0036076,682036002,ERNAKULAM,"HDFC HOUSE",2359086,ERNAKULAM,ERNAKULAM,KERALA
"STANDARD CHARTERED BANK",SCBL0036075,500036001,HYDERABAD,"6-3-1090, RAJ BHAVAN ROAD",23321160,HYDERABAD,"HYDERABAD URBAN","ANDHRA PRADESH"
"STANDARD CHARTERED BANK",SCBL0036074,560036003,"M G ROAD","RAHEJA TOWERS",66310004,BANGALORE,"BANGALORE URBAN",KARNATAKA
"STANDARD CHARTERED BANK",SCBL0036073,560036002,KORAMANGALA,"SERENITY GRND FLR","6707 9501",BANGALORE,"BANGALORE URBAN",KARNATAKA
"STANDARD CHARTERED BANK",SCBL0036072,600036003,MYLAPORE,"29/30 DR. RADHAKRISHNA SALAI",42107373,CHENNAI,CHENNAI,"TAMIL NADU"
"STANDARD CHARTERED BANK",SCBL0036071,425036002,JALGAON,"BABA PLAZA, AKASHWANI SQ, JALGAON",2237400,JALGAON,JALGAON,MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036070,400036021,"ANDHERI (W)","AMEYA HOUSE, RAJ KUMAR CORNER",26790239,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036069,452036002,INDORE,"D.M TOWERS",5206900,INDORE,INDORE,"MADHYA PRADESH"
"STANDARD CHARTERED BANK",SCBL0036068,400036020,THANE,"HIRANANDANI MEADOWS,EMERALD PLAZA",25890784,MUMBAI,THANE,MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036067,400036019,BORIVALI,"ADITYA APTS, CTS NO. 639,",28663900,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036066,400036018,CHEMBUR,"GARDEN APTS, DIAMOND GARDEN CHS",25207392,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036065,440036002,NAGPUR,"NARANG TOWERS",5620700,NAGPUR,NAGPUR,MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036064,360036002,RAJKOT,"BUSINESS EMPIRE",5526002,RAJKOT,RAJKOT,GUJARAT
"STANDARD CHARTERED BANK",SCBL0036063,395036002,SURAT,"C.K TOWER,NR SARGAM SHOPPING CNTR",2220110,SURAT,SURAT,GUJARAT
"STANDARD CHARTERED BANK",SCBL0036062,390036002,BARODA,GOKULESH,2320071,BARODA,VADODARA,GUJARAT
"STANDARD CHARTERED BANK",SCBL0036061,462036002,BHOPAL,"GROUND FLOOR, NORTHERN WING",2554280,BHOPAL,BHOPAL,"MADHYA PRADESH"
"STANDARD CHARTERED BANK",SCBL0036060,400036015,POWAI,"UNIT 101, DELTA BUILDING",22019692,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036059,400036011,"BREACH CANDY","87, BHULABAI DESAI RD,BREACH CANDY,",23696265,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036058,400036017,JUHU,"B21, SANGHVI PARITOSH",26134705,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036057,400036016,BANDRA,"UNIQUE CENTRE,",26443908,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036056,400036014,SANTACRUZ,"65-F, VITHALBHAI PATEL ROAD,",26487510,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036055,400036012,DADAR,"SHIVAJI MANDIR, ,",24331920,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036054,700036019,HOWRAH,"49 DOBSON ROAD,",26662541,KOLKATA,HOWRAH,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036053,400036009,LOKHANDWALA,"21-23SAMARTH VAIBHAV,ANDHERI(W),",26327732,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036052,400036008,"STANDARD CHARTERED TOWER","201B/1, WESTERN EXPRESS HIGHWAY",67373171,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036051,380036002,AHMEDABAD,"ABHIJEET II, GROUND FLOOR",6468300,AHMEDABAD,AHMEDABAD,GUJARAT
"STANDARD CHARTERED BANK",SCBL0036050,411036002,PUNE,"364/365 SHREERANG HOUSE,",25521880,PUNE,PUNE,MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036049,400036006,GHATKOPAR,"170 ASHOK BLDG DERASAR LANE",25125542,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036048,400036003,"CENTER POINT","JUNCTION OF JUHU & S V",26493966,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036047,400036004,CHOWPATTY,"SHREE PANT BHUVAN,",23642168,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036046,400036005,"23-25 M G ROAD","OPP. VSNL",22792122,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"STANDARD CHARTERED BANK",SCBL0036045,110036019,PITAMPURA,"A2, 3, 4, HB, TWIN TOWER, PITAMPURA",42470867,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036044,211036002,ALLAHABAD,"2 SARDAR PATEL MARG",2427070,ALLAHABAD,ALLAHABAD,"UTTAR PRADESH"
"STANDARD CHARTERED BANK",SCBL0036043,110036016,JANAKPURI,"B-1/517 , JANAKPURI",41589327,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036042,110036018,SAKET,"E - 26, SAKET,",41021454,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036041,110036017,"SECTOR-14, GURGAON","SCF - 77 SECTOR 14",4088702,"NEW DELHI",GURGAON,HARYANA
"STANDARD CHARTERED BANK",SCBL0036040,144036001,JALANDHAR,"PLOT NO.34, G.T.ROAD",5073410,JALANDHAR,JALANDHAR,PUNJAB
"STANDARD CHARTERED BANK",SCBL0036039,302036002,JAIPUR,"H-8 BHAGWAT BHAWAN",5116072,JAIPUR,JAIPUR,RAJASTHAN
"STANDARD CHARTERED BANK",SCBL0036038,143036003,AMRITSAR,"360, THE MALL",5003756,AMRITSAR,AMRITSAR,PUNJAB
"STANDARD CHARTERED BANK",SCBL0036037,141036002,LUDHIANA,"SCO 16-17, FEROZE GANDHI MARKET",5084030,LUDHIANA,LUDHIANA,PUNJAB
"STANDARD CHARTERED BANK",SCBL0036036,226036002,LUCKNOW,"NARAIN AUTOMOBILES,",2201870,LUCKNOW,LUCKNOW,"UTTAR PRADESH"
"STANDARD CHARTERED BANK",SCBL0036035,160036001,CHANDIGARH,"SCO, 137-138 SECTOR 9C",5072880,CHANDIGARH,CHANDIGARH,CHANDIGARH
"STANDARD CHARTERED BANK",SCBL0036034,110036014,"NEW FRIENDS COLONY","20, COMMUNITY CENTRE,",41672305,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036033,110036010,"GREATER KAILASH","B -68, GREATER KAILASH - 1,",29245433,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036032,110036008,"SOUTH EXTENSION","M-1, SOUTH EXTENSION PART II,",41644866,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036031,110036013,CHANAKYAPURI,"13, MALCHA MARG",26882196,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036030,110036009,"KAROL BAGH","13/37, WEA",41546964,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036029,110036012,"PUNJABI BAGH","41, CENTRAL MARKET,",42466792,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036028,110036007,"DWARKA BRANCH","HL WINGS, POCKET 4",23406202,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036027,110036011,"SANSAD MARG","10 SANSAD MARG,",23406202,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036026,110036015,"GREEN PARK","S 32, GREEN PARK MAIN MARKET",23713101,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036025,110036006,"DLF GURGAON","DLF BUILDING, NO 7A",4059036,"NEW DELHI",GURGAON,HARYANA
"STANDARD CHARTERED BANK",SCBL0036024,110036004,NOIDA,"K-3 BRAHM DATT TOWER",4323759,"NEW DELHI","GAUTAM BODDA NAGAR","UTTAR PRADESH"
"STANDARD CHARTERED BANK",SCBL0036023,110036005,"PREET VIHAR","ADITYA ARCADE",22440201,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036022,208036002,KANPUR,"16/105, M.G. ROAD",2306536,KANPUR,"KANPUR NAGAR","UTTAR PRADESH"
"STANDARD CHARTERED BANK",SCBL0036021,110036003,"GREATER KAILASH II","M BLOCK MARKET",41669256,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036020,110036002,"BARAKHAMBA ROAD","NARAIN MANZIL",43518905,"NEW DELHI","NEW DELHI",DELHI
"STANDARD CHARTERED BANK",SCBL0036019,734036002,SILIGURI,"NO.8 & 9,CITY PLAZA ,SEVOKE ROAD",2535991,SILIGURI,DARJEELING,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036018,751036002,BHUBANESWAR,PLOT#3,2539485,BHUBANESWAR,KHURDA,ODISHA
"STANDARD CHARTERED BANK",SCBL0036017,800036002,PATNA,"BHAGWATI DWARAKA ARCADE PLOT 830P",2223124,PATNA,PATNA,BIHAR
"STANDARD CHARTERED BANK",SCBL0036016,781036002,GUWAHATI,"G.N. BORDOLOI ROAD, AMBARI,",2632264,GUWAHATI,KAMRUP,ASSAM
"STANDARD CHARTERED BANK",SCBL0036015,700036010,"JODHPUR PARK","1/425, GARIAHAT ROAD SOUTH",24148718,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036014,700036016,"SHAKESPEARE SARANI","21-A SHAKESPEARE SARANI",22801809,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036013,700036014,CHURCHLANE,"6, CHURCH LANE",22420998,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036012,700036005,"MANI SQUARE","SHOP NO. G-3, 164/1, MANI SQUARE",23370927,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036011,700036017,"BIDHAN SARANI","139C BIDHAN SARANI,",22801809,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036010,700036015,"R B AVENUE","163 RASH BEHARI AVENUE",24661906,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036009,700036011,"41 CHOWRINGHEE","41 CHOWRINGHEE ROAD",22889430,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036008,700036012,"19 N S ROAD","19, N S ROAD","2222 0101",KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036007,700036013,"NEW ALIPORE","17/SA NALINI RANJAN AVENUE",24789770,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036006,700036009,"RG KAR","21A, RG KAR ROAD",25551870,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036005,700036007,GARIAHAT,"208 R.B.AVENUE",24635757,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036004,700036018,"SALT LAKE CF","CF347 SECTOR 1",23349958,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036003,700036004,"31 CHOWRINGHEE","31, CHOWRINGHEE ROAD",22465151,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036002,700036002,"142 MG ROAD","142 MG ROAD",66134722,KOLKATA,KOLKATA,"WEST BENGAL"
"STANDARD CHARTERED BANK",SCBL0036001,400036010,RTGS-HO,"90 M G ROAD, FORT",22683301,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
