BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000099,395244002,"MAIN BRANCH","KANPITH, NEAR CHAUTAPOOL, PINCODE : 395003",2597730,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000070,394244530,ORNA,"AT PO ORNA TA KAMREJ DIST SURAT",264207,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000069,394244053,BABEN,"AT PO BABEN                                            TA BARDOLI",221143,BARDOLI,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000068,394244529,TARSADI,"AT PO TARSADI TA MAHUVA",255924,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000067,395244033,TAKARMA,"AT PO TAKARMA TA OLPAD DIST SURAT PIN 394540",225539,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000066,395244032,"L P SAVANI","SHOP NO 102,FIRST FLOOR,MILIYONER BUSSINESS PARK,L P SAVANI ADAJAN,SURAT",9825195488,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000065,395244031,JAHANGIRPURA,"C-1 2 MAHENDRA PARK, PINCODE : 395 005",2760044,JAHANGIRPURA,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000064,395244030,MAGOB,"A-1 RUDRAKSH AVENUE, 1ST FLOOR , PINCODE : 395 010",2646300,MAGOB,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000063,395244029,BAMROLI,"PLOT NO 33/34, ASHIRWAD TOWNSHIP-2, BAMROLI ROAD, UDHNA,PINCODE : 394 210",2611222,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000062,NA,ZHANKHVAV,"PINCODE : 394 440",256078,ZANKHVAV,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000061,NA,KARJAN,"KARJAN SEVA SAHKARI MANDLI LTD,CAMPUS 1ST FLOOR,ABOVE TELEPHONE EXCHANGE, PINCODE : 394 155",259191,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000060,NA,RUMKITALAV,"AT & POST RUMKITALAV,  TAL. NIZAR┬á, PINCODE : 394380",222259,NIZAR,TAPI,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000059,NA,UMARPADA,"DHALVAD JUNJLE MANDLI BUILDING, OPP. MAMALATDAR OFFICE, TAL. UMARPADA, PINCODE : 394 370",253615,UMARPADA,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000058,NA,UKAI,"BHURIWELL,  TAL. SONGADH,PINCODE : 394 680",233701,UKAI,TAPI,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000057,395244022,SACHIN,"MAHALAXMI COMPLEX, NR. YOGANAND NAGAR, STATION ROAD,TAL ┬û CHORASHI PINCODE : 394 221",2391846,SACHIN,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000056,395244017,"VED ROAD","1ST FLOOR, RAJDEEP COMLEX,SIGANPUR CHAR RASTA,VED ROAD, TAL ┬û CHORASHI, PINCODE : 395 004",2513998,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000055,395244019,J.P.ROAD,"NEAR R.T.O. OFFICE, J. P. ROAD, PINCODE : 395 001",2470258,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000054,NA,VAV,"VAV CO-OP. MANDLI BUILDING,AT & POST VAV, TAL. KAMREJ, PINCODE : 394 326",251025,VAV,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000053,395244026,"KIM CHAR RASTA","KANAKNIDHI APARTMENT,KIM CHAR RASTA, KIM MANDVI RD, TAL.MANGROL, PINCODE : 394 111",234032,KIM,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000052,NA,SARBHON,"VAID FALIA,AT & POST SARBHON, TAL. BARDOLI, PINCODE : 394 350",253514,SARBHON,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000051,NA,BHAUDHAN,"TAL. MANDVI, PINCODE : 394 140",251251,BHAUDHAN,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000049,NA,VALVADA,"MAHUVA ANAVAL ROAD,OPP. HANUMAN TEMPLE, MAIN BAZARA, TAL. MAHUVA, PINCODE : 394248",251249,VALVADA,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000048,NA,MORTHANA,"TAL. KAMREJ, PINCODE : 394 325",247148,MORTHANA,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000047,NA,BAJIPURA,"BAJIPURA ┬û VALOD RAOD, BAJIPURA CHARRASHTA, TAL. VALOD, PINCODE : 394 690",233253,BAJIPURA,TAPI,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000046,395244016,PIPLOD,"UG, 32-34, GROUND FLOOR,INDRALOK APT., OPP. CRAZY BITE HOTEL,  TA:CHORYASI, PINCODE : 395 007",2227328,SURAT┬á,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000044,395244027,PALGAM,"NANI FALIA, PALGAM,  TA : HORYASIPINCODE : 391 045",2840380,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000042,NA,PALSANA,"MAIN ROAD, TAL. PALSANA, PINCODE : 394 315",264243,PALSANA,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000041,395244014,GHOD-DOD,"MAZADA APT., GROUND FLOOR, GHOD DOD ROAD, PINCODE : 395 001",2653477,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000040,395244018,AMROLI,"BESIDE AMROLI VIVIDHA KALYANKARI SAHAKARI MANDLI LTD.,COLLEGE ROAD,  PINCODE : 394 107",2499835,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000039,395244012,BHATAR,"NR. CHATANIYA PARK SOCIETY, NR. VASHUDEV ARCADE,NR. RUPALI CENAL, BHATAR,PINCODE : 395 001",2241108,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000038,395244011,HARIPURA,"GHEEKATA ROAD, BHAVANI WAD, PINCODE : 395 003",2423472,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000037,395244013,NAVYUG,"GARUKRUPA BUILDING, NR. NAVYUG COLLEGE, PINCODE : 395 009",2784303,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000036,395244010,"PATEL NAGAR","SUMUL DAIRY ROAD, SUMUL DAIRY COMPOUND, PINCODE : 395 004",2530859,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000035,NA,BHAMANIYA,"MAHUVA SUGAR FACTORY CAMPUS, TAL. MAHUVA, PINCODE : 394 246",256849,BAMANIYA,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000034,395244009,KATARGAM,"SURBHI COMPLEX, OPP. LIABERY, KATARGAM,  PINCODE : 395 004",2482268,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000033,395244008,NANAPURA,"MANMANDIR APPARTMENT,OPP. SURAT PEOPLES┬ÆS CO-OP. BANK LTD., TIMLAYAVAD,  PINCODE : 395 001",2470409,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000032,NA,GANGADHARA,"NUTAN BAGAYAT SAHAKARI MANDLI CAMPUS, AT & POST  GANGADHARA, TAL. PALSANA, PINCODE : 394 310",263224,GANGADHARA,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000031,NA,KUKARMUNDA,"SHIVAJI CHWOK, NR. BANK OF BARODA, TAL. NIZER, PINCODE : 394 380",223130,KUKARMUNDA,TAPI,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000030,395244007,RANDER,"3/179 - ABC, WARD NO. 16A, PANCH-HATADI , TA: CHORYASI, PINCODE : 395 005",2764374,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000029,395244021,"KAMREJ CHAR RASTA","KAMREJ CHAR RASTA, TAL. KAMREJ, PINCODE : 394 185",252085,KAMREJ,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000028,NA,"DOLVAN CHAR RASTA","DOLVAN CHAR RASHTA, TAL. VYARA, PINCODE : 394 635",251221,DOLVAN,TAPI,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000027,NA,"VARAD BRANCH","NEW HOLI FALIA, AT & POST VARAD, TAL. BARDOLI, PINCODE : 394 355",255339,VARAD,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000026,395244006,SAGRAMPURA,"HALDIA SHERI, SAGRAMPURA,  PINCODE : 395 002",2330598,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000025,NA,BUHARI,"TALAV STREET, MAIN ROAD,BUHARI  TAL. VALOD, PINCODE : 394 630",244251,BUHARI,TAPI,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000024,395244005,"CHOWK BAZAR","KANJIBHAI DESAI SAMAJ,SHIKSHAN BAHVAN, OPP. MUSIUM, CHOWK BAZAR, PINCODE : 395 003",2599070,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000023,395244023,"SAYAN BRANCH","SHANTI COMPLEX, SAYAN SUGAR ROAD, TAL.OLPAD, PINCODE : 394 130",242134,SAYAN,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000022,NA,KARCHELIYA,"AT & POST- KARCHELIA, TAL. MAHUVA, PINCODE : 394 250",256828,KARCHELIYA,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000021,395244004,SARDARMARKET,"21,22 GOLDEN POINT, NEAR SURAJ CINEMA, FALASAWADI, RING ROADTA.SURATPINCODE : 395 003",2439039,SURAT,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000020,NA,ANAVAL,"STATION ROAD, NEAR RAILWAY CROSSING, TAL.MAHUVA, PINCODE : 396 510",252221,ANAVAL,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000019,395244025,KIM,"GIN COMPOUND, OPP.SADHANA HOSPITAL, TAL. OLPAD, PINCODE : 394 110",238393,KIM,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000018,NA,KADOD,"KADOD- MADHI ROAD, TAL. BARDOLI, PINCODE : 394 335",246237,KADOD,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000017,NA,MANGROL,"STATION ROAD, TAL. MANGROL,PINCODE : 394 410",220253,MANGROL,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000016,395244020,CHALTHAN,"CHALTHAN SUGAR CAMPUS, TA.PALSANA , PINCODE : 394 305",281080,CHALTHAN,SURAT,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000015,NA,UCHHAL,"MAIN BAZAR, AT & POST - UCHHCHAL, TAL. UCHHAL, PINCODE : 394 375",231101,UCHHAL,TAPI,GUJARAT
"THE SURAT DISTRICT COOPERATIVE BANK LIMITED",SDCB0000014,NA,VALOD,"DESAI STREET, NEAR PARAGVAD, TAL. VALOD, PINCODE : 394 640",222039,VALOD,TAPI,GUJARAT
