BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0VDC001,396801001,"VALSAD DISRICT CENTRAL CO-OP. BANK LTD.","VALSAD DISRICT CENTRAL CO-OP. BANK LTD., SAHAKAR SADAN, KACHERI ROAD, B/H COURT BUILDING, VALSAD - 396001",248725,VALSAD,VALSAD,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UVPCBL,NA,"THE VERAVAL PEOPLES CO.OP.BANK LTD.","THE VERAVAL PEOPLES CO.OP.BANK LTD.,VRUNDAVAN,OPP.S.T.BUS STATION AREA,NR.SHUBHAM TOWER,VERAVAL-362266",244123,AHMEDABAD,AHMADABAD,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UVNSBL,383809501,"THE VADALI NAGARIK SAHAKARI BANK LTD","THE VADALI NAGARIK SAHAKARI BANK LTD.AT PO.TA.VADALI-383235 DIST.SABARKANTHA",222064,AHMEDABAD,AHMADABAD,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UVNGBL,384819501,"VADNAGAR NAGARIK SAHAKARI BANK LTD","VADNAGAR NAGARIK SAHAKARI BANK LTD.,NANI MATOR BAZAR,VADNAGAR-384355 DIST.MEHSANA (N.G.)",222058,VADNAGAR,MAHESANA,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UVIRPU,NA,"SHREE VIRPUR URBAN SAHAKARI BANK LTD","SHREE VIRPUR URBAN SAHAKARI BANK LTD.,VIRPUR-388 260, TA.VIRPUR, DIST.KHEDA",277446,VIRPUR,KHEDA,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UVIRAM,NA,"THE VIRAMGAM MERCANTILE COOP BANK LTD","THE VIRAMGAM MERCANTILE COOP BANK LTD.,MOHANBHAI PATEL MARG,VIRAMGAM-382 150.",233531,VIRAMGAM,AHMADABAD,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UUNSBL,384818051,"THE UNAVA NAGRIK SAHAKARI BANK LTD","THE UNAVA NAGRIK SAHKARI BANK LTD.MARKET YARD ,ON AHMEDABAD-ABU ROAD STATE HIGHWAY,UNAVA-384160,TALUKA UNJHA,DIST-MEHSANA N.G.",255900,AHMEDABAD,AHMADABAD,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UUNJBL,384810051,"UNJHA NAGARIK SAHAKARI BANK LTD","UNJHA NAGARIK SAHAKARI BANK LTD,GUNJ BAZAR,UNJHA 384170. NORTH GUJARAT",253731,AHMEDABAD,AHMADABAD,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UUNION,NA,"THE UNION COOPERATIVE BANK LTD","THE UNION COOPERATIVE BANK LTD.,UCB BHAVAN, NR.MTS BUS STOP, AHMEDABAD - 382 330.",22837500,AHMEDABAD,AHMADABAD,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UUCOBL,380422001,"THE UNITED CO-OPERATIVE BANK LTD","MANIBHADRA AVENUE,SHYAMPRASAD MUKHERJEE BRIDGE CORNER,VEJALPUR,AHMEDABAD 380 051",26761599,AHMEDABAD,AHMADABAD,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UTVNBL,NA,"THE VIJAPUR NAGARIK SAHAKARI BANK LTD.","THE VIJAPUR NAGARIK SAHAKARI BANK LTD.,MARKET YARD,VIJAPUR-382870,DIST.MEHSANA.",220049,AHMEDABAD,AHMADABAD,GUJARAT
"THE GUJARAT STATE COOPERATIVE BANK LIMITED",GSCB0UTSNBL,NA,"THE SARVODAYA NAGRIK SAHKARI BANK LTD","THE SARVODAYA NAGRIK SAHKARI BANK LTD., POLO GROUND, HIMMATNAGAR - 383 001, DIST.SABARKANTHA",242170,AHMEDABAD,AHMADABAD,GUJARAT
