BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011191,585697573,GURMITKAL,"TQ.YADGIR DIST.YADGIR",225363,YADGIR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011190,585697003,"N.V.LAYOUT GULBARGA","TQ.GULBARGA DIST.GULBARGA",232371,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011189,NA,CHOUBARA,"TQ.BIDAR DIST.BIDAR",229897,BIDAR,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011188,585697504,KALGI,"MAIN BAZAR LANE",257022,CHITAPUR,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011187,585697508,MALLAB,"MAIN BAZAR LANE",257022,SHORAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011186,585697507,BALONDAGI,"MAIN BAZAR LANE",257022,JEWARGI,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011185,585697205,"GUNJ AREA, YADGIR","STAION AREA",257022,YADGIR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011184,585697506,"REVAGGI TEMPLE","MAIN BAZAR LANE",257022,CHITAPUR,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011183,585697505,NALWAR,"KUMBAR ONI",257022,CHITAPUR,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011181,585697503,SHAHABAD,"MAIN BAZAR LANE",257022,CHITAPUR,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011180,585697599,"HUMNABAD OLD CITY","OLD CITY",270482,HUMNABAD,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011179,585697598,EKAMBA,"MAIN BAZAR LANE",223422,AURAD,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011178,585697106,"DARGI GALLI, BIDAR","DARJI GALLI",223422,BIDAR,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011177,585697597,NITTUR,"MAIN BAZAR LANE",264452,BHALKI,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011176,585697501,MUNNALLI,"MAIN BAZAR LANE",275100,ALAND,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011175,585697403,"SEDAM OLD CITY","SEDAM OLD CITY",275100,SEDAM,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011174,585697654,RUDRAVADI,"MAIN BAZAR LANE",275100,ALAND,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011173,585697014,"SHEROF BAZAR","SHEROF BAZAR",275100,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011172,585697015,"LALGERI CROSS","LALGERI CROSS",232111,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011171,585697013,"ESI HOSPITAL GULBARGA","SEDAM ROAD ESI HOSPITAL",232111,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011170,585697502,GUNDGURTI,"MAIN BAZAR LANE",257022,CHITAPUR,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011169,585697646,MIRKAL,"MAIN BAZAR LANE",283344,BASAVAKALYAN,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011168,585697595,RANJOL,"TQ.SEDAM DIST.GULBARGA",232111,SEDAM,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011167,585697647,WADAGAON,"TQ.AURAD DIST.BIDAR",283344,AURAD,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011166,585697593,HIROLLI,"TQ.ALAND DIST.GULBARGA",232111,ALAND,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011165,585697592,AMBALAGA,"TQ.ALAND DIST.GULBARGA",232111,ALAND,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011164,585697591,NAIKAL,"TQ.SHORAPUR DIST.YADGIR",257022,SHORAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011163,585697590,MUDBUL,"TQ.SHORAPUR DIST.YADGIR",257022,SHORAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011162,585697589,MUDNUR,"TQ.SHORAPUR DIST.YADGIR",257022,SHORAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011161,585697104,"GUMPA BIDAR","TQ.BIDAR DIST.BIDAR",235400,BIDAR,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011160,585697011,"OLD JEWARGI ROAD","TQ.GULBARGA DIST.GULBARGA",232111,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011159,585697012,"GODUTAYI NAGAR","TQ.GULBARGA DIST.GULBARGA",232111,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011158,585697587,AYNAPUR,"TQ.CHINCHOLI DIST.GULBARGA",232111,CHINCHOLI,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011157,585697645,DUBULGUNDI,"TQ.HUMNABAD DIST.BIDAR",273434,HUMNABAD,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011156,585697655,RANGAMPETH,"TQ.SHORAPUR DIST.YADGIR",257022,SHORAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011155,585697644,RAJESHWAR,"TQ.BASAVAKALYAN DIST.BIDAR",258077,BASAVAKALYAN,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011154,585697640,BAGADAL,"TQ.BIDAR DIST.BIDAR",242933,BIDAR,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011153,585697585,BALASHETTIHAL,"TQ.SHORAPUR DIST.YADGIR",290222,SHORAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011152,585697204,SAIDAPUR,"TQ.YADGIR DIST.YADGIR",224038,YADGIR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011151,585697586,HATTIKUNI,"TQ.YADGIR DIST.YADGIR",212611,YADGIR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011150,585697641,"HALLIKHED B","TQ.HUMNABAD DIST.BIDAR",274400,HUMNABAD,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011149,585697581,KAMALANAGAR,"TQ.ALAND DIST.GULBARGA",232111,ALAND,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011148,585697643,HALBARGA,"TQ.BHALKI DIST.BIDAR",263600,BHALKI,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011147,585697642,CHITAGUPPA,"TQ.HUMNABAD DIST.BIDAR",277377,HUMNABAD,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011146,585697009,"N R COLONY","TQ.GULBARGA DIST.GULBARGA",254105,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011145,585697583,"SHAHPUR YADGIR ROAD","TQ.SHAHAPUR DIST.YADGIR",244600,SHAHAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011144,585697584,HATTIGUDUR,"TQ.SHAHAPUR DIST.YADGIR",215425,SHAHAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011143,585697582,KEMBHAVI,"TQ.SHORAPUR DIST.YADGIR",278301,SHORAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011142,585697580,BILWAR,"TQ.JEWARGI DIST.GULBARGA",280025,JEWARGI,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011141,585697588,FARHATABAD,"TQ.GULBARGA DIST.GULBARGA",213200,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011140,585697008,"AIWAN-E-SHAHI GULBARGA","TQ.GULBARGA DIST.GULBARGA",240093,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011139,585697579,RAVOOR,"TQ.CHITAPUR,DIST GULBARGA",288023,CHITAPUR,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011138,585697006,"INDUSTRIAL AREA GLB","TQ.GULBARGA DIST.GULBARGA",273907,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011137,585697103,"CHIDRI ROAD BIDAR","TQ.BIDAR DIST.BIDAR",240454,BIDAR,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011136,585697105,"SHIVANAGAR BIDAR","TQ.BIDAR DIST.BIDAR",240370,BIDAR,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011135,585697010,"BIDAPUR COLONY GLB","TQ.GULBARGA DIST.GULBARGA",273907,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011134,585697578,RAMSAMUDRA,"TQ.YADGIR DIST.YADGIR",250466,YADGIR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011133,585697203,"SUBHASH CHOWK YADGIR","TQ.YADGIR DIST.YADGIR",250466,YADGIR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011132,585697577,"MAHAGAON CROSS","TQ.GULBARGA DIST.GULBARGA",220188,GULBARGA,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011125,585697639,MANTHAL,"TQ.BASAVAKALYAN DIST.BIDAR",257888,BASAVAKALYAN,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011124,585697576,YADRAMI,"TQ.JEWARGI DIST.GULBARGA",226543,JEWARGI,GULBARGA,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011122,585697638,KAMALNAGAR,"TQ.AURAD DIST.BIDAR",285377,AURAD,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011121,585697637,NOUBAD,"TQ.BIDAR DIST.BIDAR",282690,BIDAR,BIDAR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011119,585697574,HUNASAGI,"TQ.SHORAPUR DIST.YADGIR",200087,SHORAPUR,YADGIR,KARNATAKA
"PRAGATHI KRISHNA GRAMIN BANK",PKGB0011118,585697575,KAMALAPUR,"TQ.GULBARGA DIST.GULBARGA",221548,GULBARGA,GULBARGA,KARNATAKA
