BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000116,NA,"KARANJA MARKET YARD","SHOP NO 3 DAHATONDE COMPLEX RANI ZASHI CHOWK BYPASS ROAD KARANJA",2415105,WASHIM,KARANJA,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000115,NA,INZORI,"THE AKOLA DISTRICT CENTRAL CO-OPERATIVE BANK LTD., AKOLA, BRANCH INZORI, TA- MANORA, DIST. WASHIM",263225,WASHIM,INZORI,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000114,NA,"HIWARKHED EXTENSION COUNTER","THE AKOLA DISTRICT CENTRAL CO OPERATIVE BANK LTD., AKOLA, HIWARKHED",285228,AKOLA,HIWARKHED,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000113,NA,"ZP WASHIM BRANCH","THE AKOLA DISTRICT CENTRAL CO-OPERATIVE BANK LTD., ZP BRANCH WASHIM",232063,WASHIM,WASHIM,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000112,NA,"ASEGAON EXTENSION COUNTER","THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD., ASEGAON",2415785,WASHIM,ASEGAON,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000111,WAITING,"PATNI CHOWK BRANCH WASHIM","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH PATNI CHOWK, AT.PO. WASHIM, TQ. WASHIM, DIST. WASHIM 444506",2415105,WASHIM,WASHIM,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000110,NA,"BORDI EXTENSION COUNTER","THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD., IN FRONT OF GRAM PANCHAYAT BORDI",2415785,AKOLA,AKOT,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000109,NA,KASOLA,"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD., KASOLA",2415785,WASHIM,KASOLA,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000108,NA,"CHIKHALI EXTENSION COUNTER","THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD., CHIKHALI",225533,WASHIM,RISOD,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000107,444831563,WAKAD,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH WAKAD, AT.PO. WAKAD, TQ. RISOD, DIST. WASHIM 444506",2415105,WASHIM,WAKAD,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000106,444831562,"KESHAV NAGAR","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KESHAVNAGAR, AT. PO. KESHAVNAGAR, TQ. RISOD DIST. WASHIM. 444504",2415105,WASHIM,"MASALA PEN",MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000105,444831561,"MOP BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MOP, AT. PO. MOP, TQ. RISOD, DIST. WASHIM 444506",2415105,WASHIM,RISOD,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000104,444831560,"HARAL BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH HARAL, AT. PO. HARAL, TQ. RISOD, DIST. WASHIM. 444510",2415105,WASHIM,RISOD,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000103,444831559,"MANGULZANAK BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MANGUL ZANAK, AT. PO. MANGUL ZANAK, TQ. RISOD, DIST. WASHIM. 444504",2415105,WASHIM,"MANGRUL ZANAK",MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000102,444831558,"KENWAD BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KENWAD, AT. PO. KENWAD, TQ. RISOD, DIST.WASHIM. 444503",2415105,WASHIM,KENWAD,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000101,444831557,"RITHAD BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH RITHAD, AT. PO. RITHAD, TQ. RISOD, DIST.WASHIM 444510",2415105,WASHIM,RITHAD,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000100,444831556,"RISOD CITY BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH RISOD CITY, AT. PO. TQ. RISOD, DIST. WASHIM. 444506",2415105,WASHIM,RISOD,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000099,444831555,"RISOD MAIN BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH RISOD MAIN, AT. PO. TQ. RISOD, DIST. WASHIM. 444506",2415105,WASHIM,RISOD,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000098,444831554,"JAULKA RAILWAY BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH JAULKA RLY, AT. PO. JAULKA RLY, TQ. MALEGAON, DIST. WASHIM. 444503",2415105,WASHIM,JAULKA,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000097,444831553,"PANGRIKUTE BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH PANGRIKUTE, AT. PO. PANGRIKUTE, TQ. MALEGAON DIST. WASHIM. 444503",2415105,WASHIM,MALEGAON,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000096,444831552,"MEDSHI BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MEDSHI, AT. PO. MEDSHI, TQ. MALEGAON, DIST.WASHIM. 444512",2415105,WASHIM,MEDSHI,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000095,444831551,"SHIRPUR JAIN BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH SHIRPUR, AT. PO. SHIRPUR, TQ. MALEGAON, DIST.WASHIM. 444504",2415105,WASHIM,SHIRPUR,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000094,444831550,"KINHIRAJA BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KINHIRAJA, AT. PO. KINHIRAJA, TQ. MALEGAON, DIST.WASHIM. 444503",2415105,WASHIM,KINHIRAJA,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000093,444831549,"MALEGAON BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MALEGAON, AT. PO. TQ. MALEGAON, DIST.WASHIM. 444503",2415105,WASHIM,MALEGAON,MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000092,444831206,"PARDI TAKMOR BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH PARDITAKMOR, AT. PO. PARDITAKMOR, TQ.DIST.WASHIM. 444505",2415105,WASHIM,"PARDI TAKMOR",MAHARASHTRA
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",ADCC0000091,444831205,"TONDGAON BRANCH","THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH TONDGAON, AT. PO. TONDGAON, TQ.DIST.WASHIM 444505",2415105,WASHIM,WASHIM,MAHARASHTRA
