BANKNAME,IFSC,MICR_CODE,BRANCH,ADDRESS,CONTACT1,CENTRE,DISTRICT,STATE
"NORTH MALABAR GRAMIN BANK",NMGB0000172,691460102,KOTTARAKKARA,"NORTH MALABAR GRAMIN BANK,KOTTARAKKARA,A.U. TOWER, CHANDAMUKKU,KOTTARAKKARA. P.O. - 691 506,KOLLAM  DT., KERALA STATE.",9400069172,KOTTARAKKARA,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000173,691460801,PARAVUR,"NORTH MALABAR GRAMIN BANK,PARAVUR,SAHIL COMPLEX,THEKKUMBHAGHAM ROAD,PARAVUR. P.O., - 691 301,KOLLAM DIST., KERALA.",9400069173,PARAVOOR,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000174,691460202,KUNDARA,"NORTH MALABAR GRAMIN BANK,KUNDARA,CSI  SHOPPING  COMPLEX,KUNDARA. P.O. - 691 501,KOLLAM DISTRICT.",9400069174,KUNDARA,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000175,682460010,KADAVANTHRA,"NORTH MALABAR GRAMIN BANK,KADAVANTHRA, ""MIRADOR"", MUTTATHIL LANE,NEAR KADAVANTHRA JUNCTION,COCHIN - 682 020,ERNAKULAM DIST., KERALA.",9400069175,KOCHI,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000176,670460010,SREEPURAM,"NORTH MALABAR GRAMIN BANK,SREEPURAM,P.O. PALLIKUNNU - 670 004,KANNUR DIST., KERALA.",9400069176,PALLIKKUNNU,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000177,691460004,KOTTIYAM,"NORTH MALABAR GRAMIN BANK,KOTTIYAM,BLDG. NO. A.P.XVIII-359 & 360,P.O. KOTTIYAM - 691 571,KOLLAM DIST., KERALA.",9400069177,KOTTIYAM,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000178,691460152,PUNALUR,"NORTH MALABAR GRAMIN BANK,PUNALUR BRANCH,CHAWKA ROAD,PUNALUR POST - 691 305,KOLLAM DISTRICT, KERALA",9400069178,PUNALUR,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000179,670460841,PERAVOOR,"NORTH MALABAR GRAMIN BANK,PERAVOOR,PERAVOOR COMPLEX,DOOR NO. PP-V-2 T11,PERAVOOR GRAMA PANCHAYAT,MANATHANA VILLAGE,NEAR NEW BUS STAND,PERAVOOR POST -670 673,KANNUR,DISTRICT, KERALA",9400069179,PERAVOOR,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000180,686460153,MANIMALA,"NORTH MALABAR GRAMIN BANK,MANIMALA,NEAR POLICE STATION,DOOR NO. VP-1-576-C,VELLAVOOR GRAMAPANCHAYAT,VELLAVOOR VILLAGE,MOONGANI, MANIMALA POST - 686 543,KOTTAYAM,DISTRICT, KERALA. ",9400069180,MANIMALA,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000181,686460503,PALLIKKATHODE,"NORTH MALABAR GRAMIN BANK,PALLIKKATHODE,PANICKER'S ARCADE"",DOOR NO. PPIV-70E(7),PALLIKKATHODE GRAMA PANCHAYAT,ANICKAD VILLAGE,ANICKAD POST - 686 503,KOTTAYAM DISTRICT, KERALA",9400069181,PALLICKATHODU,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000182,690460153,KOLLAKKADAVU,"NORTH MALABAR GRAMIN BANK,KOLLAKKADAVU,KAVALAKKAL PLAZA',DOOR NO. CP-VIII-393J,CHERIYANAD GRAMA PANCHAYAT,CHERIYANAD VILLAGE,KOLLAKKADAVU POST - 690 509,ALAPUZHA DISTRICT,KERALA STATE.",9400069182,CHERIANAD,ALAPUZHA,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000183,671460824,PERLA,"NORTH MALABAR GRAMIN BANK,PERLA,S.H.BUILDING, DOOR NO.EP-X-525(A),ENMAKAJE PANCHAYAT,ENMAKAJE VILLAGE,PERLA POST - 671 582,KASARAGOD DISTRCT, KERALA",9400069183,KASARAGOD,KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000184,686460726,KARUKACHAL,"NORTH MALABAR GRAMIN BANK,KARUKACHAL,PALAKUNNEL BUILDING,MALLAPPALLY ROAD,P.O. KARUKACHAL - 686 540,KOTTAYAM DISTRICT, KERALA",9400069184,KARUKACHAL,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000185,691460154,PATHANAPURAM,"NORTH MALABAR GRAMIN BANK,PATHANAPURAM,PLAVILAYIL  BUILDING,P.O. PATHANAPURAM - 689 695,KOLLAM DISTRICT, KERALA.",9400069185,PATHANAPURAM,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000187,690460801,ATHIKKATTUKULANGARA,"NORTH MALABAR GRAMIN BANK,ATHIKKATTUKULANGARA,SUBY PLAZA,ATHIKKATTUKULANGARA. P.O.,NOORANAD - 690 504,ALAPPUZHA DISTRICT, KERALA",9400069187,NOORANAD,ALAPUZHA,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000188,690460802,CHERUTHANA,"NORTH MALABAR GRAMIN BANK,CHERUTHANA,KOYPPALLIL BUILDING,POST CHERUTHANA- 690 615,AYAPARAMBA, KARUVATTA (VIA),ALAPPUZHA DISTRICT, KERALA. ",9400069188,KARUVATTA,ALAPUZHA,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000189,691460802,AYOOR,"NORTH MALABAR GRAMIN BANK,AYOOR,CHRISTURAJ SHOPPING COMPLEX,POST AYOOR - 691533,KOLLAM DISTRICT, KERALA.",9400069189,AYOOR,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000190,686460703,PERUVA,"NORTH MALABAR GRAMIN BANK,PERUVA,KUZHIKKALAYIL BUILDING,POST PERUVA - 686 610,KOTTAYAM DISTRICT, KERALA.",9400069190,KOTTAYAM,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000191,686460704,AYAMKUDY,"NORTH MALABAR GRAMIN BANK,AYAMKUDY,ST. THERESAS SHOPPING CENTRE,AYAMKUDY POST - 686 613,MUTTUCHIRA (VIA),KOTTAYAM DISTRICT, KERALA.",9400069191,MUTTUCHIRA,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000192,686460003,MANARCAD,"NORTH MALABAR GRAMIN BANK,MANARCAD,NO.642-NSS KARAYOGAM BUILDING,POST MANARCAD - 686 019,KOTTAYAM DISTRICT , KERALA. ",9400069192,MANARCAUD,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000193,686460353,KIDANGOOR,"NORTH MALABAR GRAMIN BANK,KIDANGOOR,THEKKUMKATTIL CITY PLAZA,POST KIDANGOOR - 686 572,KOTTAYAM DISTRICT,KERALA.",9400069193,KIDANGOOR,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000194,686460253,VAZHAKULAM,"NORTH MALABAR GRAMIN BANK,VAZHAKULAM,GREEN VILLA COMPLEX,CARMEL JUNCTION,MUVATTUPUZHA, POST VAZHAKULAM,ERNAKULAM DISTRICT-686670, KERALA",9400069194,VAZHAKULAM,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000195,671460825,CHITTARIKKAL,"NORTH MALABAR GRAMIN BANK,CHITTARIKKAL,VELLIAPPALLIL COMPLEX,CHITTARIKKAL. P.O.,KASARAGOD DISTRICT - 671326, KERALA.",9400069195,"ELERI WEST",KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000196,671460826,MULLERIA,"NORTH MALABAR GRAMIN BANK,MULLERIA,ARAMANADKA COMPLEX,BADIYADKA ROAD,MULLERIA POST - 671 543,KASARAGOD DIST., KERALA.",9400069196,MULIYAR,KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000197,670460112,CHOKLI,"NORTH MALABAR GRAMIN BANK,CHOKLI,KHADEEJA COMPLEX,PONDY BAZAR, CHOKLI. P.O.,KANNUR DISTRICT - 670 672, KERALA",9400069197,CHOCKLI,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000198,691460803,KULATHUPUZHA,"NORTH MALABAR GRAMIN BANK,KULATHUPUZHA,KUNNUMPURATH COMMERCIAL COMPLEX,KULATHUPUZHA. P.O.,KOLLAM  DISTRICT-691 310,  KERALA.",9400069198,KULATHUPUZHA,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000199,670460843,CHERUPUZHA,"NORTH MALABAR GRAMIN BANK,CHERUPUZHA,PUNCHAKUNNEL  BUILDINGS,MAIN ROAD, CHERUPUZHA P.O.,KANNUR DISTRICT - 670 511, KERALA",9400069199,CHERUPUZHA,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000200,686460304,UZHAVOOR,"NORTH MALABAR GRAMIN BANK,UZHAVOOR,POST  UZHAVOOR - 686 634,KOTTAYAM DISTRICT, KERALA",9400069200,UZHAVOOR,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000201,686460154,ERUMELY,"NORTH MALABAR GRAMIN BANK,ERUMELY,KATTUPALAM BUILDING,KOTTAYAM DISTRICT686 509, KERALA.",9400069201,ERUMELY,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000202,670460113,PANOOR,"NORTH MALABAR GRAMIN BANK,PANOOR,CHAMPAD ROAD,PANOOR. P.O.,KANNUR DISTRICT - 670 692,  KERALA.",9400069202,PANOOR,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000203,682460011,PUKKATTUPADY,"NORTH MALABAR GRAMIN BANK,PUKKATTUPADY,IST FLOOR, MUDAVATHIL BUILDING,EDATHALA POST - 683 561,ERNAKULAM DISTRICT,PH: 0484-2686203",9400069203,EDATHALA,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000204,682460012,THIRUVAMKULAM,"NORTH MALABAR GRAMIN BANK,THIRUVAMKULAM,IST FLOOR, KARODAN CENTRE,THIRUVAMKULAM POST - 682 305,ERNAKULAM DISTRICT,PH: 0484-2786209",9400069204,THIRUVANKULAM,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000205,683460003,MANJAPRA,"NORTH MALABAR GRAMIN BANK,MANJAPRA,IST FLOOR, MANGALY TOWERS,MANJAPRA POST - 683 581,ERNAKULAM DISTRICT,PH: 0484-2690790",9400069205,MANJAPRA,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000206,,PAVOOR,"NORTH MALABAR GRAMIN BANK,PAVOOR BRANCH,P.O. PAVOOR - 671 323,KASARAGOD DISTRICT.",9400069206,KUNJATHUR,KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000501,670460843,EDAYANNUR,"NORTH MALABAR GRAMIN BANK, EDAYANNUR BRANCH, P O EDAYANNUR-670695, KANNUR DIST, KERALA, PH: 0490-2484241",9400069001,EDAYANNUR,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000701,670460844,"S.B.C EXTENSION COUNTER","NORTH MALABAR GRAMIN BANK, S.B.C EXTENSION COUNTER, MAKKIYAD, PO. MAKKIYAD, WAYANAD DIST -670 731, PH: 04935 -235006
",,VELLAMUNDA,WAYANAD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000001,,"HEAD OFFICE","NORTH MALABAR GRAMIN BANK, HEAD OFFICE, NMGB TOWERS, PALLIKKUNNU, KANNUR -670 004",0497-2702423,PALLIKKUNNU,CANNUR,KERALA
