BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC0160101,NA,"PONDICHERRY STATE COOPERATIVE BANK LTD.","204,EAST COAST ROAD,OLANDAIKEERAPALAYAM,MUDALIARPET POST,PUDUCHERRY - 605 004",2285303,PUDUCHERRY,PUDUCHERRY,PUDUCHERRY
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC00ROUTE,NA,"NEFT ROUTING","233 NSC BOSE ROAD GEORGETOWN -600001",25340973,CHENNAI,CHENNAI,"TAMIL NADU"
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC0015000,NA,"THE TAMILNADU INDUSTRIAL CO-OPERATIVE BANK LTD","36,SOUTH CANAL BANK ROAD RAJAANNAMALAIPURAM MANDAVELIPAKKAM CHENNAI - 600028",24951509,CHENNAI,CHENNAI,"TAMIL NADU"
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC0012200,NA,"THE VILLUPURAM DISTRICT CENTRAL COOPERATIVE BANK LTD.","2,HOSPITAL ROAD,VILLUPURAM-605 602",224803,VILLUPURAM,VILLUPURAM,"TAMIL NADU"
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC0012100,NA,"THE THOOTHUKUDI DISTRICT CENTRAL COOPERATIVE BANK LTD.","109/5D,ETTAYAPURAM ROAD,POLEPETTAI,THOOTHUKUDI-628002",2347604,THOOTHUKUDI,THOOTHUKUDI,"TAMIL NADU"
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC0012000,NA,"THE TIRUVANNAMALAI DISTRICT CENTRAL COOPERATIVE BANK LTD.","9,6TH STREET,GANDHI NAGAR,TIRUVANNAMALAI - 606 601",224331,TIRUVANNAMALAI,TIRUVANNAMALAI,"TAMIL NADU"
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC0011900,NA,"THE SIVAGANGAI DISTRICT CENTRAL COOPERATIVE BANK LTD.","163,GANDHI STREET,SIVAGANGAI - 630 561",240645,SIVAGANGAI,SIVAGANGAI,"TAMIL NADU"
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC0011800,NA,"THE VIRUDHUNAGAR DISTRICT CENTRAL COOPERATIVE BANK LTD.","104/1,MADURAI ROAD,VIRUDHUNAGAR - 626 001",245815,VIRUDHUNAGAR,VIRUDHUNAGAR,"TAMIL NADU"
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC0011700,NA,"THE DINDIGUL CENTRAL COOPERATIVE BANK LTD,","COOP.NAGAR,TIRUCHI ROAD,DINDIGUL - 624 005",2433153,DINDIGUL,DINDIGUL,"TAMIL NADU"
"THE TAMIL NADU STATE APEX COOPERATIVE BANK",TNSC0011600,NA,"THE VELLORE DISTRICT CENTRAL COOPERATIVE BANK LIMITED","NO.3,OFFICERS LINE,VELLORE - 632 001",2220522,VELLORE,VELLORE,"TAMIL NADU"
