"BANK ","IFSC CODE","MICR CODE","BRANCH NAME",ADDRESS,CONTACT,CITY,DISTRICT,STATE
"GURGAON GRAMIN BANK",GGBK0000001,110025279,"HEAD OFFICE GURGAON","PRAGATI BHAWAN,P36, SECTOR 44, GURGAON",9310898326,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001101,,ABHEYPUR,"VPO :DAMDAMA, DISTRICT GURGAON, HARYANA",0124-2363503,ABHEYPUR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001102,,AHARWAN,VPO:AHERWAN," 01275-270302",AHARWAN,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001103,,AKODA,"VPO:AKODA,DISTRICT-MAHENDERGARH,STATE-HARYANA,PINCODE-123029.",01285-230505,AKODA,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001104,,ALDUKA,"VILL. ALDUKA, PO:KURTHALA",01267-272128,ALDUKA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001105,,ALIKA,"VPO:ALLIKA,DISTRICT-PALWA,STATE-HARYANA.PINCODE-121002.",01275-276427,ALIKA,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001106,,AURANGABAD,VPO:AURANGABAD,01275-263648,AURANGABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001107,,BACHHOD,"VPO:BACHHOD, DISTRICT MAHENDERGARH, HARYANA"," 01282-248441",BACHHOD,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001108,,BADED,VPO:BADED,"9416577241/ 9050024640",BADED,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001109,,BADOLI,"GURGAON GRAMIN BANK.VPO:BADOLI,DISTRICT-PALWAL,STATE-HARYANA.PINCODE-121102.",01275-267375,BADOLI,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001110,110025261,BADSHAHPUR,"VPO:BADSHAHPUR. DISTRICT GURGAON, HARYANA",0124-2361259,BADSHAHPUR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001111,,BAHIN,VPO:BAHIN,9315044111,BAHIN,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001112,,"BALAHA KALAN","GURGAON GRAMIN BANK.VILL. BALAHKALAN POST OFFICE :KRISHNA NAGAR,DISTRICT-MAHENDERGARH,STATE-HARYANA.PINCODE-123001.",01282-244858,"BALAHA KALAN",MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001113,110025257,BALLABGARH,"CHAWLA COLONY, BALLABHGARH, FARIDABAD, HARYANA",0129-2241809,BALLABGARH,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001114,,BANCHARI,VPO:BANCHARI,01275-237485,BANCHARI,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001115,110025265,BEEWAN,VPO:BEEWAN,9315751115,BEEWAN,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001116,,BERLIKALAN,"VILL.BERLI KALAN, PO:MUSEPUR",01281-232044,BERLIKALAN,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001118,,BHARAWAS,"VPO:BHARAWAS,DISTRICT-REWARI,STATE-HARYANA.PINCODE-123401.",01274-246669,BHARAWAS,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001119,,BEDUKI,VPO:BHEDUKI,01275-272221,BEDUKI,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001120,,BHINGURI,"VILL.BHINGURI, PO:HATHIN",01275-261296,BHINGURI,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001121,,BHOJAWAS,"VPO:BHOJAWAS,DISTRICT-MAHENDERGARH,STATE-HARYANA.PINCODE-123034.",01285-244553,BHOJAWAS,MAHENDRAGARH,HARYANA
