BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0RRMRGB,NA,"RAJASTHAN MARUDHARA GRAMIN BANK","HEAD OFFICE, 2ND FLOOR, LIC BUILDING, MANDIYA ROAD, PALI-MARWAR 306 401",251208,PALI,PALI,RAJASTHAN
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011512,302003107,"GANDHI PATH","G-1,G-2 RANGOLI PLAZA, MAHARANA PRATAP MARG, GANDHI PATH EXTN, JAIPUR 302034",9413399006,JAIPUR,JAIPUR,RAJASTHAN
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011510,341003128,SHANKWAS,"OLD BUS STAND, SHANKWAS , TEHSIL - MARWAR MUNDWA",285045,SANKHWAS,NAGAUR,RAJASTHAN
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011509,682003003,"EDAPPALLY ERNAKULAM","KC TOWER, NEAR OBERON MALL, EDAPPALLY, PADIVATTOM ERNAKULAM (KOCHI) KERALA - 682024",9446411031,KOCHI,ERNAKULAM,KERALA
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011507,301003005,"NANGLA SAMAVADI","NEAR BACK OF GATE NO - 3, APNA GHAR SHALIMAR EXTENSION, VILLAGE - NANGLA SAMAVADI, ALWAR - 301001",9571790312,ALWAR,ALWAR,RAJASTHAN
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011506,331003151,"HAMIRWAS CHHOTA","MAIN CHOWK, VILL POST - HAMIRWAS CHHOTA, TEH - RAJGARH, DIST - CHURU, PIN 331305",8003893612,HAMIRWAS,CHURU,RAJASTHAN
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011505,334003008,"NAWALI GATE NOKHA","SUJANGARH ROAD NOKHA DIST - BIKANER PIN - 334803",9007580242,NOKHA,BIKANER,RAJASTHAN
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011504,335003005,"SEVEN L C","VILL - 7 L C , TEHSIL - SRIBIJAYNAGAR, DISTT - SRIGANGANAGAR, PIN - 335702",9413397009,JETSAR,GANGANAGAR,RAJASTHAN
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011503,313003027,GAJPUR,"BUS STAND GAJPUR - 313324, TEHSIL - KUMBHALGARH, DISTT - RAJSAMAND, RAJASTHAN",8003994719,KUMBHALGARH,RAJSAMAND,RAJASTHAN
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011502,800003008,KHAJPURA,"MADHURI COMPLEX MAGISTRATE COLONY MORE ASHIYA ROAD, PATNA, BIHAR-800014",2580419,PATNA,PATNA,BIHAR
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011501,492003002,"SHAILENDRA NAGAR","KRISHNA RANJAN BUILDING, B/35/5, SANT KANWAR RAM NAGAR, SHAILENDRA NAGAR , RAIPUR, CHHATTISGARH - 492001",9522599062,RAIPUR,RAIPUR,CHANDIGARH
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011500,492003003,"G E ROAD","SHOP NO-1, BLOCK NO-9, PLOT NO - 3/7, SHAID SMARAK COMMERCIAL COMPLEX, RAIPUR, CHHATTISGARH-492001",9993006900,RAIPUR,RAIPUR,CHHATTISGARH
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011499,734003003,"SEVOKE ROAD","SHOP NO. 4 & 5, SKY VIEW BUILDING, SEVOKE ROAD, SILIGURI, WEST BENGAL - 734001",9903550577,SALUGARA,JALPAIGURI,"WEST BENGAL"
"STATE BANK OF BIKANER AND JAIPUR",SBBJ0011498,700003020,"TEGHORIA VIP ROAD","T-98, TEGHORIA, P.O. - HATIARA, P.S. - BAGUAIHATI, KOLKATA - 700157",9167499028,BIDHANNAGAR,"NORTH 24 PARGANAS",RAJASTHAN
