BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000579,WAITING,GATADHAR,"PO SANGNA TEHSIL SANGRAH DISTT SIRMOUR 173023",8894067667,SANGRAH,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000578,WAITING,RONHAT,"RONHAT TEHSIL SHILLAI",270404,SHILLAI,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000577,WAITING,NAINIDHAR,"NAINIDHAR TEHSIL SHILLAI PIN",206010,SHILLAI,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000576,WAITING,JAMTA,"JAMTA TEHSIL NAHAN PIN",258666,NAHAN,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000575,WAITING,KHERI,"KHERI TEHSIL RAJGARH DISTT SIRMOUR",275021,RAJGARH,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000573,WAITING,"YASHWANT NAGAR","YASHWANT NAGAR PIN 173212",270400,"YASHWANT NAGAR",SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000572,173311054,"DC OFFICE NAHAN","DC NAHAN PIN 173026",222267,NAHAN,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000571,173311058,"LANA CHETA","LANA CHETA PIN 173104",247120,"LANA CHETA",SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000570,173311104,KAMRAU,"KAMRAU PIN 173029",271443,KAMRAU,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000569,173311060,TRILOKPUR,"TRILOKPUR PIN 173030",238679,"KALA AMB",SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000568,173311105,SHILLAI,"SHILLAI PIN 173027",278545,SHILLAI,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000567,173311108,SATAUN,"SATAUN PIN 173029",262506,SATAUN,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000566,173311061,SARAHAN-SIRMOUR,"SARAHAN SIRMOUR. PIN 173024",236745,SRAHAN,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000565,173311056,SANGRAH,"SANGRAH PIN 173023",248163,SANGRAH,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000564,173311106,"S - PURUWALA","S PRURWALA PIN 173025",238838,"PAONTA SAHIB",SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000563,WAITING,RAJGARH,"RAJGARH PIN 173101",221021,RAJGARH,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000562,173311102,"PAONTA SAHIB","PAONTA SAHIB PIN 173025",222336,"PAONTA SAHIB",SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000561,173311002,NOHRADHAR,"NOHRADHAR PIN 173104",240680,NOHRADHAR,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000560,173311055,NARAG,"NARAG PIN 173024",257335,NARAG,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000559,173311052,NAHAN,"NAHAN PIN 173001",222687,NAHAN,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000558,173311109,MAJRA,"MAJRA PIN 173021",254047,MAJRA,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000557,173311053,"KATCHA TANK","KATCHA TANK PIN 173001",223143,NAHAN,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000556,173311062,"KALA AMB","KALA AMB PIN 173020",254114,"KAKA AMB",SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000555,173311003,HABBAN,"HABBAN PIN 173101",266080,HABBAN,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000553,173311059,DADAHU,"DADAHU DISTT SIRMOUR PIN 173022",267353,DADAHU,SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000552,173311107,"DHAULA KUAN","DHAULA KUAN PIN 173020",257619,"DHAULA KUAN",SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000551,173311103,BADRINAGAR,"BO BADARI NAGAR PIN 173026",224788,"PAONTA SAHIB",SIRMOUR,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000467,WAITING,"JATHIA DEVI","VPO JATHIA DEVI TEHSIL SHIMLA",0,SHIMLA,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000466,WAITING,JALOG,"VPO JALOG TEHSIL SUNNI",0,SHIMLA,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000462,WAITING,KUPVI,"KUPVI TEHSIL KUPVI DISTT SHIMLA",270280,KUPVI,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000461,WAITING,"SUMMER HILL","SUMMER HILL DISTT SHIMLA 171005",2832500,SHIMLA,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000460,WAITING,FAGU,"FAGU TEHSIL THEOG DISTT SHIMLA",239207,THEOG,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000459,171311049,KHARAPATHAR,"KHARA PATHAR TEHSIL JUBBAL PIN 171205",9418012762,JUBBAL,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000458,171311025,"BACHHUNCH   CHAPOTI","BACHHUNCH CHAPOTI",244231,ROHRU,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000457,171311011,"BATAR GALU","BATAR GALU PO KATHASU TEHSIL JUBBAL PIN-171206",8988125900,JUBBAL,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000456,171311012,KHARAHAN,"KHARAHAN TEHSIL NANKHARI PIN 171213",9418211634,NANKHARI,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000455,171311039,"KHOLI GHAT","KHOLIGHAT NANKHARI PIN 171213",268755,NANKHARI,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000454,WAITING,MANDAL,"MANDAL PIN 171216",239156,MANDAL,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000453,171311023,DEOLI,"BO DEOLI PIN 171203",9418142342,DEOLI,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000451,171311043,KOTI,"KOTI TEHSIL JUNGA PIN 171012",2733451,SHIMLA,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000450,171311024,SHILAROO,"SHILAROO PIN 171213",9418095965,SHILAROO,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000449,171311045,"DEORI KHANETI","DEORI KHANETI TEHSIL KOTKHAI PIN 171201",246707,KOTKHAI,SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000448,171311032,"SARASWATI NAGAR","SARASWATI NAGAR PIN 171206",238995,"SARASWATI NAGAR",SHIMLA,"HIMACHAL PRADESH"
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",HPSC0000447,171311044,RATNARI,"RATNARI TEHSIL KOTKHAI PIN 171225",275801,KOTKHAI,SHIMLA,"HIMACHAL PRADESH"
