BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000019,411588003,CHINCHWAD,"SNO.834,835,RAMBAGAPARTMANT,POWERHOUSEHOWK,TANAJINAGARHINCHWAD,411033",27613232,PUNE,PUNE,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000018,413588504,MANGALWEDHA,"CS NO.3167/2,CHOKHMELA CHOWK,MANGALWEDHA,413305",220684,MANGALWEDHA,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000017,413588101,BARAMATI,"GAT NO.110/3,PLOT NO.2,BHIGWAN ROAD,JALOCHI,BARAMATI,413102",223349,BARAMATI,BARAMATI,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000016,413588052,LATUR,"3431,KAMDAR ROAD,LATUR,413512",240020,LATUR,LATUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000015,411588002,"KOTHRUD, PUNE","3079/1A,PAUD ROAD,KOTHRUD,PUNE,411038",25454398,PUNE,PUNE,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000014,413588154,"PRADAKSHINA ROAD, PANDHARPUR","3079/B1,NEAR KALA MARUTI,PANDHARPUR,413304",225984,PANDHARPUR,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000013,413588005,"NEHRU NAGAR, SOLAPUR","P.NO.19,JULE SOLAPUR,SOLAPUR,413004",2744234,SOLAPUR,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000012,413588501,VAIRAG,"KHADAKPURA GALLI,VAIRAG,413402",240533,VAIRAG,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000011,413588002,"TILAK CHOWK, SOLAPUR","802/803,HALWAI GALLI,MANGALWAR PETH,SOLAPUR,413002",2744230,SOLAPUR,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000010,413588004,"MARKET YARD, SOLAPUR","D1,SIDDSHWAR MARKET YARD,SOLAPUR,413003",2744233,SOLAPUR,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000009,413588153,"MARKET YARD, PANDHARPUR","JUNA KARAD NAKA,PANDHARPUR,413304",223384,PANDHARPUR,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000008,413588152,"MAHILA, PANDHARPUR","DATTA GHAT,PANDHARPUR,413304",223326,PANDHARPUR,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000007,413588502,MOHOL,"OPP.CIVIL CORT,PANDHARPUR ROAD,MOHOL,413213",232251,MOHOL,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000006,413588003,"SAKHAR PETH, SOALPUR","492,SAKHAR PETH,SOLAPUR,413005",2744232,SOLAPUR,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000005,413588201,BARSHI,"3412,AINAPURE MARUTI ROAD,BARSHI,413401",222591,BARSHI,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000004,413588503,MODNIMB,"DATTA NAGAR,STATION ROAD,MODNIMB,413301",230225,MODNIMB,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000003,413588352,SANGOLA,"MAIN ROAD,DESHPANDE GALLI,SANGOLA,413307",220024,SANGOLA,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000002,NA,"NAVI PETH, PANDHARPUR","KHAVA BAZAR,NAVI PETH,PANDHARPUR,413304",223884,PANDHARPUR,SOLAPUR,MAHARASHTRA
"THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR",PUCB0000001,NA,RTGS-HO,"4163B, Navi Peth, Pandharpur, Dist. Solapur, State Maharashtra - 413304",228484,PANDHARPUR,SOLAPUR,MAHARASHTRA
