BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"JP MORGAN BANK",CHAS0INBX04,WAITING,"PARANUR BRANCH","THE CANOPY, 2ND AVENUE, 2ND FLOOR, MAHINDRA WORLD CITY SUB-POST, PARANUR, CHENGALPATTU TALUK, KANCHIPURAM DISTRICT 603004.",0,CHENNAI,KANCHIPURAM,"TAMIL NADU"
"JP MORGAN BANK",CHAS0INBX03,WAITING,"DEVANAHALLI BRANCH","HOYSALA CORPUS, SECOND FLOOR, SURVEY NUMBER 29(NEW SURVEY NO. 29/5), GUTTAHALLI VILLAGE, KASABA HOBLI, DEVANAHALLI TALUK, BANGALORE RURAL DISTRICT, 562110",67693200,BANGALORE,"BANGALORE RURAL",KARNATAKA
"JP MORGAN BANK",CHAS0INBX02,WAITING,"NEW DELHI BRANCH","UNIT NOS. 401 AND 402, 4TH FLOOR, NEW TOWER, BLOCK A, HYATT REGENCY DELHI, BHIKAJI CAMA PLACE, NEW DELHI 100066.",66111700,"NEW DELHI","NEW DELHI",DELHI
"JP MORGAN BANK",CHAS0INBX01,400500002,RTGS-HO,"J.P. MORGAN TOWER, OFF. C.S.T. ROAD, KALINA, SANTACRUZ-EAST, MUMBAI - 400098 INDIA",61573836,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
