BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"KARUR VYSYA BANK",KVBL0009999,NA,"KARUR VYSYA BANK TREASURY","POST BOX NO. 21, ERODE ROAD, KARUR-639002",0,KARUR,KARUR,"TAMIL NADU"
"KARUR VYSYA BANK",KVBL0007777,NA,"DATA CENTRE ACC","D BLOCK,NORTH WING,6TH FLOORTIDEL,PARK,TARAMANI,CHENNAI 600113",22665914,CHENNAI,CHENNAI,"TAMIL NADU"
"KARUR VYSYA BANK",KVBL0004871,NA,"KAKINADA- BHANUGUDI JUNCTION","D NO 2-27-14/1 GOKULA STREET SRINAGAR KAKINADA ANDHRA PRADESH 533003",22654260,"EAST GODAVARI","EAST GODAVARI","ANDHRA PRADESH"
"KARUR VYSYA BANK",KVBL0004870,NA,RAZOLE,"S NO 145/1 MAIN ROAD RAZOLE EAST GODAVARI DISTRICT ANDHRA PRADESH 533242",22654260,"EAST GODAVARI","EAST GODAVARI","ANDHRA PRADESH"
"KARUR VYSYA BANK",KVBL0004869,NA,NAIDUPET,"OLD GNT ROAD OPP R AND B GUEST HOUSE NELLORE DISTRICT NAIDUPET ANDHRA PRADESH 524126",22654260,NELLORE,NELLORE,"ANDHRA PRADESH"
"KARUR VYSYA BANK",KVBL0004868,NA,"VIJAYAWADA-BENZ CIRCLE","D.NO 40-9-99,RAMA KRUPA COMPLEX,SAINAGAR,KRISHNA DISTRICT,VIJAYAWADA ANDHRA PRADESH 520008",22654260,VIJAYAWADA,VIJAYAWADA,"ANDHRA PRADESH"
"KARUR VYSYA BANK",KVBL0004867,NA,JADCHERLA,"PLOT NO 3B 4,SY NO 74,BLOCK NO 13 BIJINEPALLY,NEAR SIGNAL GADDA CROSS RD BADEPALLY JADCHERLA MAHABOOBNAGAR TELANGANA 509301",22654260,MAHABOOBNAGAR,MAHABOOBNAGAR,TELANGANA
"KARUR VYSYA BANK",KVBL0004866,NA,"TIRUPATI M R PALLI","PLOT NO 158 NEW BALAJI COLONY M R PILLAI TIRUPATI CHITOOR ANDHRA PRADESH 517502",22654260,CHITOOR,CHITOOR,"ANDHRA PRADESH"
"KARUR VYSYA BANK",KVBL0004865,NA,KADIRI,"D NO 1 1169 BYEPASS ROAD KADIRI ANANTAPUR ANDHRA PRADESH 515591",22654260,ANANTAPUR,ANANTAPUR,"ANDHRA PRADESH"
"KARUR VYSYA BANK",KVBL0004864,NA,CHINAAMIRAM,"D NO 7 9 JUVVALAPALEM ROAD CHINAAMIRAM WEST GODAVARI DISTRICT ANDHRA PRADESH 534204",22654260,CHINAAMIRAM,"WEST GODAVARI","ANDHRA PRADESH"
"KARUR VYSYA BANK",KVBL0004863,NA,YADAGIRIGUTTA,"DOWNHILLS VYKUNTA DWARAM OPP SHOPPING COMPLEX 1 SHOP NO 15 MAIN ROAD YADAGIRIGUTTA TELANGANA 508115",22654260,YADAGIRIGUTTA,YADAGIRIGUTTA,TELANGANA
"KARUR VYSYA BANK",KVBL0004862,NA,"HYDERABAD ALWAL","H NO 1 4 173/1/3 NEW NO 5-72/4 SATYA COMPLEX GROUND FLOOR LOYOLA COLLEGE ROAD OLD ALWAL SECUNDERABAD TELANGANA 50010",22654260,SECUNDERABAD,HYDERABAD,TELANGANA
"KARUR VYSYA BANK",KVBL0004861,NA,VENKATAPALEM,"2-42 VENKATAPALEM TULLUR MANDAL GUNTUR ANDHRA PRADESH 522503",22837668,GUNTUR,GUNTUR,"ANDHRA PRADESH"
