BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"SOUTH INDIAN BANK",SIBL0008263,NA,"RTGS CELL","EMCA HOUSE, 289 GROUND FLOOR, S B SINGH ROAD, FORT, MUMBAI",22611209,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SOUTH INDIAN BANK",SIBL0008096,NA,"CPSMS CELL","PLANNING & DEVELOPEMENT DEPT, HEAD OFFICE, THRISSUR-680001",2365657,THICHUR,THRISSUR,KERALA
"SOUTH INDIAN BANK",SIBL0008018,NA,"TREASURY DEPARTMENT","PARINEE CRESCENZO,804,8TH FLOOR,B WING,G BLOCK,BANDRA KURLA COMPLEX,BANDRA(E),MUMBAI-400051",2365657,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SOUTH INDIAN BANK",SIBL0000969,NA,KADAMBAR,"KA COMMERCIAL COMPLEX, NEAR KADAMBAR GUP SCHOOL,KADAMBAR, MANJESHWAR 671323,KASARAGOD. KERALA",2365657,KASARAGOD,KASARAGOD,KERALA
"SOUTH INDIAN BANK",SIBL0000968,NA,KEEKAN,"SOLAR ARCADE, POOCHAKKAD, OPP. POOCHAKKAD JUMA MASJID, KEEKAN,KEEKKAN P.O,PINCODE 671316,KASARAGOD. KERALA",2365657,KASARAGOD,KASARAGOD,KERALA
"SOUTH INDIAN BANK",SIBL0000964,NA,"ST JOSEPHS COLLEGE","NO 74,SUMERU TOWERS,BRIGADE ROAD STREET,RICHMOND ROAD,PINCODE 560025,BENGALURU, KARNATAKA",2365657,BENGALURU,BENGAGURU,KARNATAKA
"SOUTH INDIAN BANK",SIBL0000963,NA,"UNION CHRISTIAN COLLEGE, ALUVA","WARD NO 13, UNION CHRISTIAN COLLEGE, UC COLLEGE ROAD,UC COLLEGE POST,ALUVA,PINCODE 683102, ERNAKULAM KERALA",2365657,ERNAKULAM,ERNAKULAM,KERALA
"SOUTH INDIAN BANK",SIBL0000962,689059253,"RANNI NILAKKAL DIOCESAN CENTRE","MAR THOMA DIOCES BUILDING, MANDIRAM RANNI,PINCODE 689672,PATHANAMTHITTA KERALA",2365657,PATHANAMTHITTA,KOLLAM,KERALA
"SOUTH INDIAN BANK",SIBL0000961,NA,"ST MARTHAS HOSPITAL","NO 5, ST MARTHAS HOSPITAL,NRUPATHUNGA ROAD, BANGALORE 560001, KARNATAKA",2365657,BANGALORE,BANGALORE,KARNATAKA
"SOUTH INDIAN BANK",SIBL0000960,NA,"NAGPUR SADAR","PLOT NO 186,RED CROSS ROAD,SADAR,NAGPUR,440001,MAHARASHTRA",2365657,NAGPUR,NAGPUR,MAHARASHTRA
"SOUTH INDIAN BANK",SIBL0000957,NA,HARIPAD,"DOOR NO 732,WARD NO 9, ARAVIND BUILDING,EZHIKKAKATHU JUNCTION, HARIPAD, PIN CODE 690514 ALAPPUZHA DISTRICT, KERALA.",2365657,ALAPPUZHA,ALAPPUZHA,KERALA
"SOUTH INDIAN BANK",SIBL0000956,NA,"KANNUR MELE CHOVVA","DOOR NO ELP 13,468,A, MELECHOVVA, MELECHOVVA POST,PINCODE 670006,KANNUR,KERALA",2365657,KANNUR,KANNUR,KERALA
"SOUTH INDIAN BANK",SIBL0000955,NA,"KANNUR CHALAD","DOOR NO P P II 6A,GK COMPLEX,ALAVIL POST,PINCODE 670008,KANNUR,KERALA",2365657,KANNUR,KANNUR,KERALA
"SOUTH INDIAN BANK",SIBL0000953,NA,TIRUPATI,"DOOR NO 25, GROUND FLOOR, K R PRIDE BUILDING, K T ROAD, TIRUPATI. PIN CODE 517507 ANDRA PRADESH",2365657,CHITTOOR,CHITTOOR,"ANDHRA PRADESH"
"SOUTH INDIAN BANK",SIBL0000952,670059809,"DEVAMATHA EDUCATIONAL INSTITUTIONS","PP VI 52,WARD NO VI, DEVAMATHA EDUCATIONAL INSTITUTIONS, DEVAMATHA COLLEGE, PAISAKARY, PIN CODE 670633, KANNUR DISTRICT, KERALA.",2365657,KANNUR,ALAPPUZHA,KERALA
"SOUTH INDIAN BANK",SIBL0000951,680059069,"ST JOSEPH UP SCHOOL","DOOR NO 168B,WARD NO 14, KUNDANNUR, KUNDANNUR POST,PINCODE 680590,THRISSUR,KERALA",2365657,THRISSUR,TRISSUR,KERALA
"SOUTH INDIAN BANK",SIBL0000950,680059029,"SANTHI NURSING ROOM, PUNNAYURKULAM","DOOR NO 12, 247,248,249, SANTHI NURSING HOME BUILDING,PUNNAYURKULAM POST, PUNNAYURKULAM,PINCODE 679561,THRISSUR,KERALA",2365657,THRISSUR,TRISSUR,KERALA
"SOUTH INDIAN BANK",SIBL0000949,686059812,"KURIAKOSE ELIAS SCHOOL MANNANAM","DOOR NO 132,WARD NO 17,KURIAKOSE ELIAS SCHOOL BUILDING,MANNANAM AMMENCHERRY ROAD,MANNANAM 686561,KOTTAYAM,KERALA.",2365657,KOTTAYAM,KOTTAYAM,KERALA
"SOUTH INDIAN BANK",SIBL0000948,NA,"DCSMAT GROUP OF INSTITUTIONS EC","DOOR NO 35, WARD NO 1, DCSMAT, DC COUNTY, PULLIKKANAM,VAGAMAN. PIN CODE 685503 KERALA",2365657,IDUKKI,IDUKKI,KERALA
"SOUTH INDIAN BANK",SIBL0000947,NA,"PALLITHURA HIGHER SECONDARY SCHOOL EC","TC 1/1396, WARD NO.100, ST LOYALA COMMUNITY HALL BUILDING, PALLITHURA, TRIVANDRUM. PIN CODE-695586",2365657,TRIVANDRUM,TRIVANDRUM,KERALA
"SOUTH INDIAN BANK",SIBL0000946,NA,SEETHANGOLI,"MAIN ROAD, SEETHAGOLI, BELA POST, PIN 671321, MANJESHWARAM TQ, KASARAGOD DIST",2365657,KASARAGOD,KASARAGUD,KERALA
"SOUTH INDIAN BANK",SIBL0000945,NA,KODIBAIL,"GULF PLAZA, NH17 UPPALA, KAIKAMBA JUNCTION, KADIBAIL,UPPALA POST. PIN 671322, MANJESHWARAM TQ, KASARAGOD DIST",2365657,KASARAGOD,KASARAGUD,KERALA
"SOUTH INDIAN BANK",SIBL0000942,NA,PALLIMUKKU,"WARD NO 6,NNS BUILDING,KAYYALAKKAL,PALLIMUKKU,VADAKKEVILA POST,PINCODE 691010,KOLLAM KERALA",2365657,KOLLAM,KOLLAM,KERALA
"SOUTH INDIAN BANK",SIBL0000941,NA,NEDUMANGAD,"NMC 13,VADAKKATHIL TOWER,AMMAN KOVIL JUNCTION,NEDUMANGAD.TRIVANDRUM,KERALA.",2365657,TRIVANDRUM,TRIVANDRUM,KERALA
"SOUTH INDIAN BANK",SIBL0000940,NA,"PALAKKAD - MELAMURI","512/7,WARD NO 27,MERCY COLLEGE MELAMURI ROAD, MELAMURI, PALLIPURAM POST, PALAKKAD, KERALA. PIN CODE-678006",2365657,PALAKKAD,PALAKKAD,KERALA
"SOUTH INDIAN BANK",SIBL0000939,NA,"SOUTH VAZHAKULAM","WARD NO 20,THADIYITTAPARAMBU JUNCTION,SOUTH VAZHAKULAM P O,ERNAKULAM",2365657,VAZHAKULAM,ERNAKULAM,KERALA
"SOUTH INDIAN BANK",SIBL0000938,NA,VALAYANCHIRANGARA,"WARD NO 14,PARACKAL SQUARE,MANNOOR- PONJASSERY ROAD,VALAYANCHIRANGARA",2365657,ARAKKAPADY,ERNAKULAM,KERALA
"SOUTH INDIAN BANK",SIBL0000937,NA,"MEENAKSHI MISSION HOSPITAL AND RESEARCH CENTRE","DOOR NO 1,WARD 28,MMHRC,MELUR ROAD,MATTUTHAVANI POST OFFICE,MADURAI",2365657,MADURAI,MADURAI,"TAMIL NADU"
"SOUTH INDIAN BANK",SIBL0000935,NA,"MARY MATHA ENGLISH MEDIUM SCHOOL,THULLUR","DOOR NO 2-18,MARY MATHA ENGLISH MEDIUM HIGH SCHOOL,THULLUR MAIN ROAD,THULLUR,GUNTUR",2365657,THULLUR,GUNTUR,"ANDHRA PRADESH"
"SOUTH INDIAN BANK",SIBL0000934,NA,PERUMPADAVU,"DOOR NO 11,10-ERAMAM KUTOOR PANCHAYATH,PERUMPADAVU,KARIPPAL,KANNUR",2365657,CANNUR,CANNUR,KERALA
"SOUTH INDIAN BANK",SIBL0000932,NA,ALAMBADI,"BUILDING NO 121,CHRIST COLLEGE OF SCIENCES & MANAGEMENT CAMPUS,CHRIST NAGAR,ALAMBADI,KOLAR",2365657,KOLAR,KOLAR,KARNATAKA
"SOUTH INDIAN BANK",SIBL0000931,NA,"KATTAKADA CHRISTIAN COLLEGE","DOOR NO 275,CHRISTIAN COLLEGE, KATTAKADA,THIRUVANANTHAPURAM",2556003,KATTAKADA,THIRUVANANTHAPURAM,KERALA
"SOUTH INDIAN BANK",SIBL0000930,NA,"KOTTAYAM MEDICAL COLLEGE","WARD 52,KARIMATTATHIL BUILDING NO XIII/5733,GANDHINAGAR,KOTTAYAM",2556003,KOTTAYAM,KOTTAYAM,KERALA
"SOUTH INDIAN BANK",SIBL0000928,NA,"ST.GREGORIUS SENIOR SECONDARY SCHOOL","WARD NO 2,OLD HOSPITAL BLOCK, ST. GREGORIUS SENIOR SECONDARY SCHOOL,KAIPATTOOR",2365657,PATHANAMTHITTA,PATHANAMTHITTA,KERALA
"SOUTH INDIAN BANK",SIBL0000927,NA,"KODUMON HIGH SCHOOL","DOOR NO15,16,ARADHANA BUILDING,KODUMON,PATHANAMTHITTA",2365657,KODUMON,PATHANAMTHITTA,KERALA
"SOUTH INDIAN BANK",SIBL0000926,NA,"ST JOSEPHS HOSPITAL MARIAM NAGAR","ST JOSEPHS HOSPITAL,MARIAM NAGAR,NANDGRAM,MEERUT ROAD,GHAZIABAD",2365657,GHAZIABAD,GHAZIABAD,"UTTAR PRADESH"
