BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"THE NAINITAL BANK LIMITED",NTBL0VIK078,248184003,"VIKAS NAGAR","MAIN ROAD, NEAR SBI  VIKAS NAGAR - 248 198  DEHRADOON UTTARAKHAND",253070,"VIKAS NAGAR","DEHRA DUN",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0TAP122,249184103,"TAPOVAN- RISHIKESH","VILLAGE TAPOVAN BADRINATH ROAD OPP GANGA HOTEL PO SARAI RISHIKESH",2437600,RISHIKESH,RISHIKESH,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0TAN095,263184095,TANAKPUR,"501/2 G.B. PANT MARG, TANAKPUR-263309, (UTTRANCHAL)",265478,TANAKPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0SRI083,246184902,SRINAGAR,"NEAR DALMIA DHARAMSHALA, BADRINATH ROAD,SRINAGAR,246174 UTTARAKHAND",250843,SRINAGAR,GARHWAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0SRI044,262184044,"SRIPUR BICHWA","SRIPURBICHWA , U.S.NAGAR (UTTARAKHAND)",236058,"SRIPUR BICHWA","UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0SIT094,262184094,SITARGANJ,"NEAR SBI, KICHHA ROAD,SITARGANJ,UDHAMSINGH NAGAR  244901 (UTTARAKHAND)",253372,SITARGANJ,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0SIT025,261184001,SITAPUR,"14, JAIL ROAD, NEAR HUSSAIN ALI CHAURAHA, SITAPUR (U.P.) 261001",270919,SITAPUR,SITAPUR,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0SHA020,242184002,SHAHJAHANPUR,"235, SADAR BAZAR, SHAHJAHANPUR (U.P)",223457,SHAHJAHANPUR,SHAHJAHANPUR,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0SAH060,247184002,SAHARANPUR,"MANJULIKAY GARDEN, BAJORIA ROAD, SAHARANPUR",2716661,SAHARANPUR,SAHARANPUR,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0RUD134,263184204,BHURARANI,"THE NAINITAL BANK LIMITED, BHURA RANI ROAD, NEAR HP GAS AGENCY, BHURA RANI, RUDARPUR, UDHAM SINGH NAGAR, UTTARAKHAND, 263153",0,RUDARPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0RUD093,246184093,RUDRAPRAYAG,"NEAR NEW BUS STAND, RUDRAPRAYAG, DISTT. RUDRAPRAYA",233125,RUDRAPRAYAG,RUDRAPRAYAG,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0RUD045,263184045,RUDRAPUR,"D1/D2/VII B, CIVIL LINES, NEAR JANTA INTER COLLEGE, RUDRAPUR",243370,RUDRAPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0ROO077,247184102,ROORKEE,"00/1, NEHRU NAGAR  OPPOSITE SUB JAIL ROORKEE UTTARAKHAND",269966,ROORKEE,HARIDWAR,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0RIS099,249184001,RISHIKESH,"46/1 TILAK ROAD RISHIKESH- 249201",2435867,RISHIKESH,"DEHRA DUN",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0RAN034,263184034,RANIBAGH,"NAINITAL ROAD, RANIBAGH, NAINITAL (UTTARAKHAND)",267589,RANIBAGH,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0RAN004,226184014,RANIKHET,"RANIKHET, ALMORA (UTTARAKHAND) 266 139",220637,RANIKHET,ALMORA,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0RAM036,244184102,RAMPUR,"HITHIKHANA CHAUHARA,NEAR LIC, RAMPUR (UP)",2352434,RAMPUR,RAMPUR,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0RAM011,263184011,RAMGARH,"MALLA RAMGARH - 263 132, NAINITAL",281145,RAMGARH,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0RAM005,263184005,RAMNAGAR,"BAJAJA LINE RAMNAGAR, NAINITAL (UTTARAKHAND)",251333,RAMNAGAR,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0PUR128,249184302,PUROLA,"HOTEL SHUBHAM PALACE , MAIN MARKET, KUMOLA ROAD, PUROLA, DIST UTTARKASHI, UTTRAKHAND-249185",7055101787,UTTARKASHI,UTTARKASHI,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0PIT007,262184102,PITHORAGARH,"SILTHAM, PITHORAGARH (UTTARAKHAND)",225562,PITHORAGARH,PITHORAGARH,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0PIL021,262184021,PILIBHIT,"STATION ROAD, PILIBHIT 262001 (U.P.)",255414,PILIBHIT,PILIBHIT,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0PAU098,246184098,PAURI,"UPPAR BAZAR , PAURI-246001",221500,PAURI,GARHWAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0PAN091,263184203,PANTNAGAR,"DISTRICT COURT COMPOND, P O SIDCUL,PANTNAGAR,US NAGAR",244022,PANTNAGAR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0PAN062,132184001,PANIPAT,"OPPOSITE MAHARAJA HOTEL, GT ROAD, NATIONAL HIGHWAYNO.1, PANIPAT (HARYANA)",2672436,PANIPAT,PANIPAT,HARYANA
"THE NAINITAL BANK LIMITED",NTBL0PAH028,263184028,PAHARPANI,"H.N. 22, MORANAULA ROAD, PAHARPANI (NAINITAL)",282232,PAHARPANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0NOI120,110184022,"GREATER NOIDA","THE NAINITAL BANK LTD, GREATER NOIDA, SRI JAI BALAJI EDUCATIONAL TRUST, NS-48, SEC-P4, BUILDERS AREA, NEAR JALVAYU VIHAR",2390013,NOIDA,"GAUTAM BUDDHA NAGAR","UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0NOI070,110184017,"NOIDA SECTOR-2","C-29,SECTOR-2,NOIDA",2512379,NOIDA,"GAUTAM BUDDHA NAGAR","UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0NOI063,110184013,"NOIDA (SECTOR50)","B-1/31, SECTOR -50,NOIDA, DISTT. GOTAM BUDH NAGAR",2500544,NOIDA,"GAUTAM BUDDHA NAGAR","UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0NEW088,249184902,"NEW TEHRI","F&G 3 , OPEN MARKET,COLLEGE ROAD ,BHOURARI,NEW TEHRI (UTTARAKHAND)",232193,TEHRI,"TEHRI GARHWAL",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0NAJ061,246184302,NAJIBABAD,"OPPOSITE GURUDWARA, NAJIBABAD 246763, DISTT. BIJNOR",225336,NAJIBABAD,BIJNOR,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0NAI999,NA,"HEAD OFFICE","7 OAKS BUILDING MALLITAL NAINITAL",231951,NAINITAL,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0NAI037,263184002,TALLITAL,"HOTEL EMPIRE ANNEXE, TALLITAL, NAINITAL 263001",235414,NAINITAL,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0NAI001,263184001,NAINITAL,"G.B.PANT ROAD, NAINITAL 263 002 (UTTARAKHAND)",235754,NAINITAL,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0NAG135,246184202,NAGINA,"THE NAINITAL BANK LIMITED, NEAR BANK OF INDIA, STATION ROAD, NAGINA, DISTT BIJNORE, UTTAR PRADESH 246762",0,NAGINA,BIJNORE,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0NAG024,226184024,NAGLA,"NAGLA, U.S.NAGAR (UTTARAKHAND)",233390,NAGLA,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0MUZ033,251184002,MUZAFFARNAGAR,"COURT ROAD, MUZAFFARNAGAR 251001 (U.P.)",2408143,MUZAFFARNAGAR,MUZAFFARNAGAR,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0MUS102,248184102,MUSSORIE,"SHOP NO 8 LANDOUR BAZAR, CLOCK TOWER - 248179",2630120,MUSSOORIE,"DEHRA DUN",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0MOR131,244184003,"KANTH ROAD","THE NAINITAL BANK LIMITED, A-6, DEENDAYAL NAGAR, PHASE-1, SAI MANDIR ROAD, KANTH ROAD- MORADABAD, DISTT -MORADABAD, UTTAR PRADESH-244001",2454155,MORADABAD,MORADABAD,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0MOR031,244184001,MORADABAD,"C-36, GANDHI NAGAR, MORADABAD 244001 (U.P.)",2491906,MORADABAD,MORADABAD,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0MEE027,250184001,MEERUT,"1ST FLOOR, CITY PLAZA COMM. COMPLEX, BEGUM BRIDGE ROAD, MEERUT",2420817,MEERUT,MEERUT,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0LUC112,226184008,"I I M ROAD-LUCKNOW","I I M ROAD LUCKNOW",4002008,LUCKNOW,LUCKNOW,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0LUC079,226184007,"GOMTI NAGAR  LUCKNOW","BHATIA PLAZA, 1/8 VIRAM KHANDPTARAKAR PURAM CROSSING GOMTI NAGAR  LUCKNOW (U.P)",2397040,LUCKNOW,LUCKNOW,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0LUC068,226184005,"NADAN MAHAL ROAD, LUCKNOW","NEAR M.D.SHUKLA COLLEGE, NADAN MAHAL ROAD, LUCKNOW",2262468,LUCKNOW,LUCKNOW,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0LUC058,226184004,"ASHIANA, LUCKNOW","SECTOR-H, LDA COLONY, ASHIANA, LUCKNOW 226012 (U.P.)",2421167,LUCKNOW,LUCKNOW,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0LUC041,226184003,"MAHANAGAR, LUCKNOW","M-6, GOLE MARKET, MAHANAGAR, LUCKNOW",2387281,LUCKNOW,LUCKNOW,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0LUC017,226184002,LUCKNOW,"T.N.ROAD , LUCKNOW 226001 (U.P)",2281981,LUCKNOW,LUCKNOW,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0LOH013,262184013,LOHAGHAT,"BAJRANG BALLI WARD, HANUMAN MANDIR ROAD, LOHAGHAT 262523, CHAMPAWAT",234539,LOHAGHAT,CHAMPAWAT,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0LAL016,262184016,LALKUAN,"NAINITAL ROAD,LALKUAN, NAINITAL (UTTARAKHAND)",268024,LALKUAN,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0KOT107,302184107,KOTPUTLI,"MAIN CHAURAHA, KAUSHIK TOWER, NH-8, KOTPUTLI, DISTT.- JAIPUR, RAJASTHAN",222251,JAIPUR,JAIPUR,RAJASTHAN
"THE NAINITAL BANK LIMITED",NTBL0KOT055,246184802,KOTDWAR,"BADRINATH ROAD, KOTDWAR",227443,KOTDWARA,GARHWAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0KIL014,262184014,KILAKHERA,"KILAKHERA, U.S.NAGAR (UTTARAKHAND)",241130,KILAKHERA,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0KIC008,263184502,KICHHA,"RUDRAPUR ROAD, KICHHA, U.S.NAGAR (UTTARAKHAND)",264371,KICHHA,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0KAS129,244184203,"MORADABAD ROAD","THE NAINITAL BANK LIMITED, ASHOKA COMPLEX, MORADABAD ROAD, NEAR BANK OF BARODA, KASHIPUR, DISTT-UDHAM SINGH NAGAR, UTTARAKHNAD-244713",274878,KASHIPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0KAS006,244184006,KASHIPUR,"RAMNAGAR ROAD, KASHIPUR, NAINITAL (UTTARAKHAND)",274060,KASHIPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0KAR116,132184002,KARNAL,"S.C.O.31,32,33 MUGHAL CANAL MARKET",2535060,KARNAL,KARNAL,HARYANA
"THE NAINITAL BANK LIMITED",NTBL0KAR087,246184087,"KARAN PRAYAG","GEETA BHAWAN, KARNPRAYAG,UTTARAKHAND",244811,"KARAN PRAYAG",CHAMOLI,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0KAP089,263184089,KAPKOTE,"NEW THSIL ROAD ,KAPKOAT,263632, UTTARAKHAND",253472,KAPKOTE,BAGESHWAR,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0KAN130,250184003,"KANKAR KHERA MEERUT","489 OM NAGAR NORTH SARDHANA ROAD OPP CANARA BANK, KANKHERA MEERUT, UP ( 250001 )",2630777,MEERUT,MEERUT,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0KAN109,208184003,"BARRA KANPUR","HIG-7 NEAR KABIR HOSPITAL KANPUR",232111,KANPUR,KANPUR,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0KAN023,208184002,KANPUR,"KANPUR BRANCH, 24/43, BIRHANA ROAD, KANPUR 208001 (UTTAR PRADESH)",2312491,"KANPUR CITY",KANPUR,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0JOS086,246184086,JOSHIMATH,"SHAILAIJA GUEST HOUSE,NEAR GMVN REST HOUSE,JOSHI MATH (CHAMOLI) UTTARKHAND",221130,JOSHIMATH,CHAMOLI,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0JAS046,244184046,JASPUR,"MAIN ROAD, OPP.POLICE STATION, JASPUR 246412",222102,JASPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0JAI125,302184003,"RAJA PARK JAIPUR","D-67 GOVIND MARG RAJA PARK, ICE FACTORY, ADARSH NAGAR, JAIPUR RAJASTHAN",2617978,JAIPUR,JAIPUR,RAJASTHAN
"THE NAINITAL BANK LIMITED",NTBL0JAI069,302184002,JAIPUR,"A-78/79, SUBHASH NAGAR, SHOPPING CENTRE, BANI PARK, JAIPUR (RAJ.)",2281557,JAIPUR,JAIPUR,RAJASTHAN
"THE NAINITAL BANK LIMITED",NTBL0HAR097,249184004,"JAWALAPUR HARIDWAR","45, VIVEK VIHAR, RANIPUR MORE 249407",220765,HARDWAR,HARIDWAR,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAR067,249184002,HARDWAR,"SRI CHETAN JYOTI ASHRAM, BHUPATWALA, HARIDWAR",262319,HARDWAR,HARIDWAR,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAL124,263184101,"DAMUADHUNGA BANDOBASTI","THE NAINITAL BANK LTD KRISHNA KUNJ OPP INSPIRATION SCHOOL DAMUADHUNGA BANDOBASTI KATHGODAM",228833,HALDWANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAL121,263184009,"JAGATPUR GAULAPAR HDW","VILLAGE- JAGATPUR, PO- KUNWARPUR, GAULAPAR",240004,HALDWANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAL111,263184007,KAMALUWAGANJA,"VILLAGE NARSINGH TALLA P.O.KAMALUWAGANJA,KAMALUWAGANJA ROAD,HALDWANI 263139",238600,HALDWANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAL108,263184008,"LOHARIASAAL MALLA (HALDWANI)┬á","LAHORIASAAL MALLA, KATGHARIA, HALDWANI - 263139",260341,HALDWANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAL103,263184006,ARJUNPUR,"ARJUNPUR GORPARAO CHAURAHA,GORAPARAO, HALDWANI, NAINITAL  263139",232111,HALDWANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAL071,263184004,"RAMPUR RAOD","P.O.-MANPUR WEST, DEWAL CHAUR, HALDWANI",234440,HALDWANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAL056,263184056,"MBPG COLLEGE","MBPG COLLEGE, NAINITAL ROAD, HALDWANI",225769,HALDWANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAL050,263184050,"KALADHUNGI ROAD","PILIKOTHI, NEAR KAPIL DHARAMSHALA, KALADHUNGI ROAD, HALDWANI",263008,HALDWANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0HAL003,263184003,HALDWANI,"RAILWAY BAZAR , HALDWANI (UTTARAKHAND)",250201,HALDWANI,NAINITAL,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0GUR133,110184026,"SOHNA ROAD","THE NAINITAL BANK LTD, SHOP NO 5, WELDONE TECH PARK, SOHNA ROAD GURUGRAM, HARYANA - 122018",0,GURUGRAM,GURUGRAM,HARYANA
"THE NAINITAL BANK LIMITED",NTBL0GUR051,110184007,GURGAON,"32, MILE STONE, CHANDER NAGAR 1, DELHI-JAIPUR BY PASS, GURGAON, HARYANA 122 001",2302184,GURGAON,GURGAON,HARYANA
"THE NAINITAL BANK LIMITED",NTBL0GHA126,110184024,"SANJAY NAGAR GHAZIABAD","D-10, SANJAY NAGAR, GHAZIABAD, UP",2783042,GHAZIABAD,GHAZIABAD,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0GHA054,110184010,VAISHALI,"SECTOR 4, PLOTNO. 3, COMMERCIAL CENTRE, MAIN ROAD, VAISHALI (GHAZIABAD) U.P.",2779118,GHAZIABAD,GHAZIABAD,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0GHA026,110184008,GHAZIABAD,"35, ADDL. SIGANI GATE SCHEME, NEAR NAVYUG MARKET, GHAZIABAD, (U.P.)",2790880,GHAZIABAD,GHAZIABAD,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0GAD052,263184052,GADARPUR,"GROVER MARKET, NEAR GURU NANAK MARKET, GADARPUR",271994,GADARPUR,"UDHAM SINGH NAGAR",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0FAR106,243184106,FARIDPUR,"MAIN MARKET, BAREILLY-LUCKNOW ROAD, FARIDPUR, DISTT - BAREILLY, (U.P.) - 243503",231050,BAREILLY,BAREILLY,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0FAR064,110184014,FARIDABAD,"DSS-10, HUDA MARKET, SHOPPING CENTRE, SECTOR-29, FARIDABAD (HARYANA)",2504526,FARIDABAD,FARIDABAD,HARYANA
"THE NAINITAL BANK LIMITED",NTBL0DWA096,263184096,DWARAHAT,"RANIKHET BADRINATH MARG, DWARAHAT- 263563",244335,ALMORA,ALMORA,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0DOI092,248184092,DOIWALA,"RISHIKESH HARDWAR ROAD,MAIN MARKET,DOIWALA,DEHRADOON",2691258,DOIWALA,"DEHRA DUN",UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0DHA123,246184602,"DHAMPUR BIJNOR","THE NAINITAL BANK LTD OM HOUSE NEAR PIR TEACHERS COLONY NH 74 DHAMPUR DIST BIJNOR UP",221200,DHAMPUR,BIJNOR,"UTTAR PRADESH"
"THE NAINITAL BANK LIMITED",NTBL0DHA085,262184085,DHARCHULA,"TEHSIL ROAD ,DHARCHULA, (PITHORAGHAR) UTTARAKHAND",222995,DHARCHULA,PITHORAGARH,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0DEV030,263184030,DEVIDHURA,"JAGDAMBA MARKET, DEVIDHURA (UTTARAKHAND)",238023,DEVIDHURA,CHAMPAWAT,UTTARAKHAND
"THE NAINITAL BANK LIMITED",NTBL0DEL114,110184023,"DILSHAD GARDEN","C 16,DILSHAD COLONY,DILSHAD GARDEN",22354601,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL110,110184021,"DWARKA NEW DELHI","DELHI DWARKA",2280300,"NEW DELHI",DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL105,110184020,"SURHERA NAJAFGARH","VILLAGE & POST: SURHERA (NAZAFGARH), NEW DELHI-110043",28013040,"NEW DELHI",DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL080,110184001,RTGS-HO,"SERVICE BRANCH, 33 - PANCHKUIAN ROADNEW DELHI",23583068,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL076,110184018,"ROHTAK ROAD, DELHI","M - 123GURU HARIKISHAN NAGAR (ROHTAK ROAD), PASCHIM VIHAR NEW DELHI - 87",25289112,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL073,110184016,"ROHINI, SECTOR-16","E-4, SECTOR 16, JAIN BHARTI MODEL, PUBLIC SCHOOL, ROHINI, DELHI 110085",27899070,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL066,110184012,"NEW ASHOK NAGAR , DELHI","OPPOSITE EAST APPARTMENTS, MAYUR VIHAR, PHASE -A, DELHI",22622800,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL065,110184015,"VIKAS MARG, DELHI","4, JAGRITI ENCLAVE, VIKAS MARG, NEW DELHI",22161187,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL059,110184011,PAPPANKALAN(DWARKA),"29/2, VIJAY ENCLAVE, PALAM DABRI ROAD, DWARKA, DELHI",25055006,"KAPAS  HERA",DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL053,110184009,"I.P. EXTENSION, DELHI","VIVEKANAND INTERNATIONAL SCHOOL, I.P. EXTENSION, DELHI 92",22232950,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL049,110184006,"PITAMPURA , DELHI","SATABDI HOUSE, PLOTNO. 3, COMMERCIAL COMPLEX, ROHIT KUNJ, WEST PITAMPURA 110034, DELHI",27351524,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL047,110184005,PATPARGANJ,"P-37, PANDAV  NAGAR, PATPARGANJ, DELHI",22792984,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL040,110184003,"TILAKNAGAR,  DELHI","8/33, TILAKNAGAR, NEW DELHI 110018",25987475,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL039,110184004,"SHALIMARBAGH, DELHI","BH-8, BHAGWATI BHAWAN, SHALIMARBAGH, DELHI 110052",27495914,DELHI,DELHI,DELHI
"THE NAINITAL BANK LIMITED",NTBL0DEL038,110184002,"LAJPATNAGAR, DELHI","40-41, PUSHPA MARKET, CENTRAL MARKET, LAJPATNAGAR, NEW DELHI",29834225,DELHI,DELHI,DELHI
