BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"BANK OF AMERICA",BOFA0ND6216,110032001,"NEW DELHI","┬áBANK OF AMERICA N.A,1ST FLOOR,DLF CENTRE,SANSAD MARG, NEW DELHI 110001",23715565,"NEW DELHI","NEW DELHI",DELHI
"BANK OF AMERICA",BOFA0MM6205,32002,RTGS-HO,"┬áBANK OF AMERICA N.A GR.FLOOR EXPRESS TOWERS NARIMAN POINT MUMBAI-21",66323109,┬áMUMBAI,MUMBAI,MAHARASHTRA
"BANK OF AMERICA",BOFA0CN6215,NA,"CHENNAI BRANCH","EA CHAMBERS,EXPRESS AVENUE,8TH FLOOR NO.49,50 L,WHITES ROAD,ROYAPETTAH,CHENNAI 600014",0,CHENNAI,CHENNAI,"TAMIL NADU"
"BANK OF AMERICA",BOFA0BG3978,560032002,"BANGALORE BRANCH","SALARPURIA WINDSOR, 5TH FLOOR,B-WING, NO-3, ULSOOR ROAD,BANGALORE 560042",66006203,BANGALORE,BANGALORE,KARNATAKA
