BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"TELANGANA STATE COOP APEX BANK",TSAB0000140,NA,YOUSUFGUDA,"OM SAI KRUPA SWARNA,8-3-225/149/2,YOUSUF GUDA CHECK POST,HYDERABAD 500045",8499994050,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000139,NA,NEREDMET,"35-64/2,GK COLONY,NEREDMET HYDERABAD 500094",9963932878,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000138,NA,SUCHITRA,"SDS COMPLEX,1-5-903/2412/1/NR,SRI SAI NAGAR,OLD ALWAL MAIN ROAD,HYDERABAD-500010",9494462476,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000137,500874036,"BHARATNAGAR COLONY","PLOT NO.143,OPP MEE SEVA,MOTINAGAR,HYDERABAD-500018",9010297772,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000136,500874035,BANDLAGUDA,"SURVEY NO.42 P,OPP RAJIVGRUHAKALAPA,GSI POST,BANDLAGUDA.",9010900033,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000135,500874030,"CHANDA NAGAR","PLOT NO.392PART AND 393,ROAD NO.6,MADHAVAPURI HILLS,CHANDA NAGAR,HYDERABAD-50",23443861,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000134,500874034,UPPAL,"PLOT NOS.78 AND 79,VENKATESWARA TEMPLE ROAD,SWAROOP NAGAR,UPPAL,HYDERABAD-39",23443864,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000133,500874033,ATTAPUR,"H NO 2-5-19/1/39 ATTAPUR ROAD,UPPARAPALLY VILLAGE,HUDA COLONY,HYDERABAD 48",20023864,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000132,500874032,AMBERPET,"SARVAJI RESIDENCY,H.NO.10-51/4,10-51/5,MAIN ROAD,RAMANTHAPUR,HYDERABAD-13",23443862,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000131,500874031,TOLICHOWKI,"5-83/1, PLOT NO. 347, SECRETARIAT COLONY, MANIKONDA, HYDERABAD-89",9618917575,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000130,500874026,GACHIBOWLI,"SAI TEJA ENCLAVE, 2-52/88,NEAR GPRAQUARER,NDRANAGAR,GACHBOWL,HYDERABAD-32",23443851,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000129,500874029,MALKAJGIRI,"BHARATHRAJ BHAVAN, 1-128/2/1 OLD, 1-131/2 NEW MALKAJGIRI",23443854,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000128,500874028,KUKATPALLY,"SUJATHA NILAYAM, MIG-205, MRO OFFICE ROAD, PHASE I AND II, KPHB COLONY, HYDERABAD-72",23443853,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000127,500874027,SERILINGAMPALLY,"PLOT NO.9,SITARA APARTMENTS,HUDA TRADE CENTRE,NALLAGANDLA ROAD,LINGAMPALLY,HYDERABAD-19",23443852,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000125,500874002,"HEAD OFFICE BRANCH","4-1-511/3 TROOP BAZAR,KOTI,HYDERABAD",23443814,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000124,500874024,"MARUTHI NAGAR","PLOT NO 1,SY NO.174, MARUTHI NAGAR,NEAR JAIN MANDIR, KOTHAPET, HYDERABAD-60",23443803,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000123,500874023,"JUBILEE HILLS","O8-2-293/82/A/69/1,ROADO1,JUBILEEILLS,YDERABAD-33",23441272,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000122,500874021,CHAMPAPET,"H.NO. 17-1-388/C/A,VIJAY NAGAR COLONY,CAMPAPET,HYDERABAD-59",23443831,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000121,500874022,KAMALANAGAR,"LTN.47,KAMALANAGAR,BHULAKSHMINAGAR,VANASTHALIURAM,HYDERABAD-70",23443837,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000120,500874020,MOULALI,"H.NO 1-7-177/A OPP GHMC OFFICE,KAMALANAGAR ECIL HYD-62",23443843,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000119,500874019,ALWAL,"1-12-160/3,GROUND FLOOR,JAYA RESIDENCY,JJ NAGAR COLONY,BEHIND RELIANCE FRESH,ALWAL,SECUNDERABAD-10",23443887,SECUNDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000118,500874018,AMEERPET,"6-3-788/A/22, KUMAR CHAMBERS, OPP LANE TO CHANDANA BROTHERS, HYDERABAD-16",23441262,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000117,500874017,"VENGALRAO NAGAR","D.NO. 110, MADHURA NAGAR WELFARE BUILDING, HYDERABAD-38",23441252,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000116,500874025,LALAPET,"12-1-1570AD157,SATIAGAR,LALAPET,YDERABAD-17",23443881,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000115,500874016,LOTHUKUNTA,"HPN.59-1/2,NEARKARKHANAPLICETATIN,ECUNDERABAD-9",27745527,SECUNDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000114,500874015,BAGHLINGAMPALLY,"1-8-115/2, CHIKKADAPALLY, HYDERABAD-20",4023443886,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000113,500874004,CHARMINAR,"22-5-519 AND 545/1,ILAHI PETROL STATION,PANJESHA,HYDERABAD 2",23443832,HYDERABAD,"RANGA REDDY",TELANGANA
"TELANGANA STATE COOP APEX BANK",TSAB0000112,500874005,DILSUKHNAGAR,"9-24, SRIHARI VASAM, DILSUKHNAGAR,HYDERABAD 60",23443836,HYDERABAD,"RANGA REDDY",TELANGANA
