BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000908,311142002,"A.P. MAHESH CO-OPERATIVE URBAN BANK LTD","ASHOK TOWERS, SHOP NUMBER 11,12,13,14&15, GROUND FLOOR, NEAR GANDHI MARG, TRILOK MARG, GANDHI NAGAR, BHILWARA, RAJASTHAN.311001",234371003,RAJASTHAN,RAJASTHAN,RAJASTHAN
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000907,400240257,MUMBAI,"103 HOTEL ADARSH BAGH MUMBAI 400002",22412410,MUMBAI,MAHARASHTRA,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000906,302142002,JAIPUR,"PLOT  10 MJ ROAD JAIPUR 302001",5107702,JAIPUR,RAJSTHAN,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000905,506142002,WARANGAL,"8-3-121 STATION ROAD WARANGAL 506002",2506758,WARANGAL,WARANGAL,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000904,530142002,VIZAG,"30-15-41 LEELA PLAZA DABA GARDEN VIZAG 530020",2591173,VIZAG,VIZAG,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000903,533142102,RAJAMUNDRY,"8-24-121 OPP I TOWN POLICE  STATION RAJMUNDRY 533101",2426295,RAJAMUNDRY,"EAST GODAVARI","ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000902,520142102,GUNTUR,"22-7-33 LALAPET GUNTUR 522003",2212102,GUNTUR,GUNTUR,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000901,520142001,VIJAYAWADA,"27-37-147 TO 152 BANDAR ROAD VIJAYAWADA 520002",2574654,VIJAYAWADA,KRISHNA,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000900,507142002,KHAMMAM,"2-2-49 TO 52 GANDHI CHOWK KHAMMAM - 507003",224128,KHAMMAM,KHAMMAM,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000035,500142035,GACHIBOWLI,"SP SQUARE, SURVEY NO-91, GROUND FLOOR, INDRANAGAR, GACHIBOWLI, HYDERABAD - 500032",23437171,HYDERABAD,HDERABAD,TELANGANA
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000034,500142034,"A.P. MAHESH CO-OPERATIVE URBAN BANK LTD","PLOT NO 96 & 97, SURVEY NO.83,GROUND FLOOR, VENKATESHWARA ENCLAVE, JEEDIMETLA VILLAGE, QUTHBULLAPUR MANDAL & GHMC CIRCLE, R.R.DIST.,KOMPALLY, HYDERABAD. 500014.",23437102,HYDERABAD,R.R.DISTRICT,TELANGANA
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000033,500142033,"A.P. MAHESH CO-OPERATIVE URBAN BANK LTD","MUNICIPAL NO.5-9-211, GROUND FLOOR GANAPATHI RESIDENCY, CHIRAG ALI LANE, ABIDS, HYDERABAD.500001",234371001,HYDERABAD,HYDERABAD,TELANGANA
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000032,500142032,CHINTAL,"32-212 OPP RANGA THEATER CHINTAL HYD - 500055",23437168,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000031,500142031,SEETAPHALMANDI,"11-1-47 48 49 SEETHAPHALMANDI HYD- 500061",23437129,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000030,500142030,CHAMPAPET,"17-1-382/V/1/V/4 SAI NILAYAM CHAMPAPET HYD - 500079",23437120,HYDERABAD,"RANGA REDDY","ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000029,500142029,ATTAPUR,"3-4-174/7/2 ATTAPUR HYD - 500048",24012057,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000028,500142028,"BANJARA HILLS","8-2-293/K KAMALAPURI COLONY KRISHNA NAGAR HYD - 500073",23334029,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000027,500142027,MOTINAGAR,"DOOR 13-1-116/116/A KUKATPALLY CIRCLE MOTINAGAR HYD -500018",23431816,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000026,500142026,KARKHANA,"PLOT 12 OPP  RELEIANCE FRESH KARKHANA SEC -500009",23437126,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000025,500142025,VANASTALIPURAM,"6-2-690 LB NAGAR CIRCLE  VANASTALIPURAM  HYD - 500070",23437124,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000024,500142024,"AS ROA NAGAR","1-15-1/3 BESIDE WATER TANK  AS RAO NAGAR HYD -500062",23437104,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000023,500142023,TARNAKA,"PLOT 1/D STREET 3 HABSIGUDA TARNAKA HYD-500007",23437152,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000022,500142022,"WEST MAREDPALLY","10-1-624 SHENOY NURSING HOME WMARDPALLY SEC- 500026",23437162,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000021,500142021,KUKATPALLY,"22-276/1 &2 BHAGYANAGAR COOP HOUSING SOCIETY KUKATPALLY 500072",23061578,HYDERABAD,"RANGA REDDY","ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000020,500142020,"RTC CROSS ROADS","1-8-518/19/A CHIKKAD PALLY HYD -500020",23437138,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000019,500142019,MALAKAJGIRI,"5-32-3 OPP MUNICIPAL OFF  MALKAJGIRI HYD - 5000036",27050754,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000018,500142018,AMEERPET,"6-3-850/1 AMEERPET SIRISHA PLAZA HYD-500016",23431811,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000017,500142017,CHARMINAR,"III FLOOR RIKAB GUNJ CHARMINAR HYD-500002",23437132,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED",APMC0000016,500142016,"MEHDIPATNAM,","12-2-831/86 MEHDIPATNAM COLONY HYD - 500028",23431803,HYDERABAD,HYDERABAD,"ANDHRA PRADESH"
